#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-21, 00:07:54,  +00:00,       ,             ,             ,   -80.5, 29.99,        ,  24.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.22,    0.61,  29.74,    0.0,   76.62,   77.23,   76.79,   76.81,   76.71,   76.56,  100.09,   99.99,  100.09,  100.09,  100.09,   99.99,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:07:54,  +00:00,       ,             ,             ,   -80.5, 29.99,        ,  24.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.22,    0.61,  29.74,    0.0,   76.62,   77.23,   76.79,   76.81,   76.71,   76.56,  100.09,   99.99,  100.09,  100.09,  100.09,   99.99,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:07:55,  +00:00,       ,             ,             ,   -81.5, 29.99,        ,  24.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.23,    0.61,  29.74,    0.0,   76.64,   77.23,   76.79,   76.80,   76.71,   76.56,   99.95,   99.95,   99.95,   99.95,   99.95,   99.95,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:07:56,  +00:00,       ,             ,             ,   -81.5, 29.99,        ,  24.0,   0.00,       ,  -21.91,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.22,    0.61,  29.75,    0.0,   76.62,   77.24,   76.79,   76.80,   76.71,   76.56,   99.95,   99.95,   99.95,   99.95,   99.95,   99.95,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:07:57,  +00:00,       ,             ,             ,   -81.5, 29.99,        ,  24.0,   0.00,       ,  -27.12,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.25,    0.62,  29.74,    0.0,   76.62,   77.26,   76.79,   76.81,   76.71,   76.56,   99.95,   99.95,   99.95,   99.95,   99.95,   99.95,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:07:58,  +00:00,       ,             ,             ,   -82.5, 29.99,        ,  24.0,   0.00,       ,  -28.94,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.26,    0.62,  29.74,    0.0,   76.65,   77.24,   76.80,   76.82,   76.71,   76.56,   99.95,   99.95,   99.95,   99.95,   99.95,   99.95,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:07:59,  +00:00,       ,             ,             ,   -82.5, 29.99,        ,  24.0,   0.00,       ,  -16.81,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.25,    0.62,  29.74,    0.0,   76.65,   77.26,   76.82,   76.82,   76.73,   76.59,   99.95,   99.95,   99.95,   99.95,   99.95,   99.95,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:08:00,  +00:00,       ,             ,             ,   -82.5, 29.99,        ,  24.0,   0.00,       ,  -17.51,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.26,    0.62,  29.74,    0.0,   76.65,   77.26,   76.80,   76.82,   76.73,   76.59,   99.95,   99.95,   99.95,   99.95,   99.95,   99.95,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:08:01,  +00:00,       ,             ,             ,   -83.5, 29.99,        ,  24.0,   0.00,       ,  -16.07,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.28,    0.62,  29.74,    0.0,   76.66,   77.28,   76.82,   76.82,   76.73,   76.59,   99.95,  100.05,  100.05,   99.95,   99.95,  100.05,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 00:08:02,  +00:00,       ,             ,             ,   -83.5, 29.99,        ,  24.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.3,  46.00,  46.00,     0.00,   77.28,    0.62,  29.74,    0.0,   76.65,   77.26,   76.80,   76.82,   76.73,   76.59,  100.09,   99.99,   99.99,  100.09,  100.09,   99.99,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
