#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-24, 00:12:27,  +00:00,       ,             ,             ,   986.6, 30.04,        ,  16.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -4.5,  25.33,  24.97,     0.00,  153.10,   -0.43,  28.57,    0.0,  177.44,  183.92,  188.57,  184.49,  187.78,  181.25,  123.77,  125.42,  130.88,  122.90,  132.48,  114.70,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:27,  +00:00,       ,             ,             ,   986.6, 30.04,        ,  16.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -4.4,  25.33,  27.28,     0.00,  153.09,   -0.44,  28.57,    0.0,  177.42,  183.92,  188.57,  184.46,  187.78,  181.23,  123.77,  125.40,  130.89,  122.90,  132.48,  114.69,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:28,  +00:00,       ,             ,             ,   986.6, 30.04,        ,  16.8,   0.00,       ,  -10.49,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -4.4,  27.59,  29.41,     0.00,  153.08,   -0.43,  28.57,    0.0,  177.43,  183.89,  188.55,  184.46,  187.80,  181.21,  123.72,  125.40,  130.89,  122.90,  132.47,  114.69,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:29,  +00:00,       ,             ,             ,   986.6, 30.04,        ,  16.8,   0.00,       ,  -15.70,   1.57,  -0.22,   0.00,   0.00,   4.3,      ,  24.9,  24.3,  -4.4,  29.67,  31.35,     0.00,  153.06,   -0.43,  28.57,    0.0,  177.38,  183.89,  188.51,  184.41,  187.75,  181.20,  123.74,  125.39,  130.86,  122.87,  132.44,  114.65,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:30,  +00:00,       ,             ,             ,   985.6, 30.04,        ,  16.8,   0.00,       ,  -15.99,   1.57,  -0.22,   0.00,  -0.00,   4.3,      ,  25.0,  24.3,  -4.4,  31.62,  33.12,     0.00,  153.07,   -0.43,  28.58,    0.0,  177.38,  183.86,  188.49,  184.42,  187.72,  181.17,  123.73,  125.36,  130.82,  122.86,  132.40,  114.65,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:31,  +00:00,       ,             ,             ,   985.6, 30.04,        ,  16.8,   0.00,       ,  -16.00,   1.58,  -0.21,   0.00,   0.00,   4.3,      ,  25.0,  24.3,  -4.4,  33.44,  34.75,     0.00,  153.05,   -0.43,  28.57,    0.0,  177.37,  183.84,  188.49,  184.42,  187.72,  181.17,  123.67,  125.34,  130.80,  122.83,  132.37,  114.62,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:32,  +00:00,       ,             ,             ,   985.6, 30.04,        ,  16.8,   0.00,       ,  -16.00,   1.59,  -0.21,   0.00,  -0.00,   4.3,      ,  25.0,  24.4,  -4.4,  35.10,  36.25,     0.00,  153.06,   -0.43,  28.58,    0.0,  177.34,  183.83,  188.46,  184.40,  187.69,  181.14,  123.70,  125.34,  130.77,  122.80,  132.33,  114.58,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:33,  +00:00,       ,             ,             ,   985.6, 30.04,        ,  16.8,   0.00,       ,   -3.43,   1.59,  -0.21,   0.00,  -0.00,   4.3,      ,  25.0,  24.4,  -4.3,  36.63,  37.63,     0.00,  153.06,   -0.44,  28.58,    0.0,  177.32,  183.80,  188.43,  184.37,  187.68,  181.13,  123.67,  125.32,  130.74,  122.79,  132.30,  114.58,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:34,  +00:00,       ,             ,             ,   985.6, 30.04,        ,  16.8,   0.00,       ,   -2.61,   1.60,  -0.22,   0.00,   0.00,   4.2,      ,  25.0,  24.4,  -4.3,  38.04,  38.89,     0.00,  153.04,   -0.43,  28.57,    0.0,  177.32,  183.80,  188.43,  184.36,  187.64,  181.11,  123.63,  125.31,  130.73,  122.78,  132.29,  114.54,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 00:12:35,  +00:00,       ,             ,             ,   985.6, 30.04,        ,  16.8,   0.00,       ,  -12.78,   1.61,  -0.23,   0.00,  -0.00,   4.2,      ,  25.0,  24.4,  -4.3,  39.34,  40.03,     0.00,  153.04,   -0.43,  28.58,    0.0,  177.27,  183.77,  188.38,  184.33,  187.63,  181.09,  123.63,  125.28,  130.72,  122.78,  132.28,  114.52,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
