#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-24, 16:50:40,  +00:00,       ,             ,             ,    66.6, 30.31,        ,  12.8,   0.00,       ,  -20.80,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  26.71,  25.23,     0.00,  124.64,    0.97,  29.82,    0.0,  136.25,  137.27,  133.40,  132.49,  127.74,  128.00,   93.52,   92.44,   91.77,   87.65,   87.83,   85.37,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:40,  +00:00,       ,             ,             ,    66.6, 30.31,        ,  12.8,   0.00,       ,  -20.80,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  26.71,  25.23,     0.00,  124.64,    0.97,  29.82,    0.0,  136.25,  137.27,  133.40,  132.49,  127.74,  128.00,   93.52,   92.44,   91.77,   87.65,   87.83,   85.37,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:41,  +00:00,       ,             ,             ,    66.6, 30.31,        ,  12.8,   0.00,       ,  -16.26,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  26.70,  25.21,     0.00,  124.64,    0.97,  29.83,    0.0,  136.25,  137.26,  133.40,  132.49,  127.74,  128.00,   93.51,   92.40,   91.80,   87.67,   87.77,   85.37,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:42,  +00:00,       ,             ,             ,    65.6, 30.31,        ,  12.8,   0.00,       ,  -28.57,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  26.70,  25.20,     0.00,  124.64,    0.99,  29.83,    0.0,  136.22,  137.25,  133.40,  132.47,  127.74,  128.00,   93.49,   92.53,   91.84,   87.74,   87.78,   85.47,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:43,  +00:00,       ,             ,             ,    65.6, 30.31,        ,  12.8,   0.00,       ,  -31.87,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  26.70,  25.19,     0.00,  124.64,    0.99,  29.83,    0.0,  136.25,  137.24,  133.40,  132.47,  127.71,  128.00,   93.65,   92.57,   91.87,   87.81,   87.89,   85.51,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:44,  +00:00,       ,             ,             ,    64.6, 30.31,        ,  12.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  26.69,  25.18,     0.00,  124.65,    0.99,  29.83,    0.0,  136.25,  137.25,  133.37,  132.46,  127.71,  127.97,   93.62,   92.42,   91.78,   87.69,   87.85,   85.41,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:45,  +00:00,       ,             ,             ,    64.6, 30.31,        ,  12.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -7.1,  26.69,  25.17,     0.00,  124.63,    0.96,  29.82,    0.0,  136.24,  137.25,  133.37,  132.44,  127.71,  127.97,   93.55,   92.51,   91.79,   87.78,   87.71,   85.47,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:46,  +00:00,       ,             ,             ,    64.6, 30.31,        ,  12.8,   0.00,       ,  -27.20,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -8.8,  26.69,  25.17,     0.00,  124.63,    0.91,  29.79,    0.0,  136.22,  137.24,  133.37,  132.46,  127.71,  127.98,   93.61,   92.55,   91.77,   87.71,   87.83,   85.51,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:47,  +00:00,       ,             ,             ,    63.6, 30.31,        ,  12.8,   0.00,       ,  -19.56,       ,       ,       ,       ,      ,      ,  24.5,  23.8, -10.5,  26.69,  25.16,     0.00,  124.63,    0.89,  29.79,    0.0,  136.22,  137.22,  133.37,  132.44,  127.70,  127.97,   93.46,   92.43,   91.69,   87.66,   87.65,   85.37,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 16:50:48,  +00:00,       ,             ,             ,    63.6, 30.31,        ,  12.8,   0.00,       ,  -23.22,       ,       ,       ,       ,      ,      ,  24.3,  23.6, -11.9,  26.69,  25.15,     0.00,  124.63,    0.90,  29.80,    0.0,  136.22,  137.22,  133.35,  132.44,  127.69,  127.95,   93.44,   92.37,   91.69,   87.65,   87.62,   85.37,        ,   0,  GPS,  173.8, 113.70, 111.15, 122.800, 120.625,       ,       ,       ,      ,       ,       ,  -10.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
