#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-25, 19:16:10,  +00:00,       ,             ,             ,   136.4, 30.37,        ,   9.5,   0.00,       ,  -28.02,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.2,  46.00,  45.42,     0.00,   91.14,    1.34,  29.86,    0.0,   89.48,   90.56,   85.10,   84.32,   83.99,   81.91,   89.58,   89.58,   89.58,   89.58,   89.58,   89.58,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:10,  +00:00,       ,             ,             ,   136.4, 30.37,        ,   9.5,   0.00,       ,  -30.85,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.2,  46.00,  45.42,     0.00,   91.14,    1.34,  29.86,    0.0,   89.48,   90.58,   85.11,   84.32,   83.99,   81.91,   89.58,   89.58,   89.58,   89.58,   89.58,   89.58,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:11,  +00:00,       ,             ,             ,   136.4, 30.37,        ,   9.5,   0.00,       ,  -31.96,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.2,  46.00,  45.41,     0.00,   91.15,    1.34,  29.86,    0.0,   89.51,   90.56,   85.11,   84.33,   83.98,   81.92,   89.58,   89.58,   89.58,   89.58,   89.58,   89.58,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:12,  +00:00,       ,             ,             ,   136.4, 30.37,        ,   9.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.3,  46.00,  45.41,     0.00,   91.16,    1.35,  29.86,    0.0,   89.48,   90.58,   85.11,   84.33,   84.00,   81.94,   89.58,   89.58,   89.58,   89.58,   89.58,   89.58,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:13,  +00:00,       ,             ,             ,   135.4, 30.37,        ,   9.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.3,  46.00,  45.41,     0.00,   91.16,    1.36,  29.87,    0.0,   89.51,   90.56,   85.11,   84.33,   83.98,   81.92,   89.58,   89.58,   89.58,   89.58,   89.58,   89.58,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:14,  +00:00,       ,             ,             ,   135.4, 30.37,        ,   9.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.3,  46.00,  45.41,     0.00,   91.16,    1.35,  29.87,    0.0,   89.48,   90.56,   85.11,   84.33,   84.00,   81.93,   89.58,   89.58,   89.58,   89.58,   89.58,   89.58,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:15,  +00:00,       ,             ,             ,   134.4, 30.37,        ,   9.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.3,  46.00,  45.40,     0.00,   91.17,    1.36,  29.87,    0.0,   89.48,   90.56,   85.12,   84.33,   84.00,   81.93,   89.58,   89.49,   89.49,   89.49,   89.58,   89.49,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:16,  +00:00,       ,             ,             ,   133.4, 30.37,        ,   9.5,   0.00,       ,  -35.43,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.3,  46.00,  45.40,     0.00,   91.17,    1.37,  29.87,    0.0,   89.50,   90.58,   85.11,   84.35,   84.01,   81.93,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:17,  +00:00,       ,             ,             ,   133.4, 30.37,        ,   9.5,   0.00,       ,  -32.28,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.4,  46.00,  45.40,     0.00,   91.16,    1.35,  29.87,    0.0,   89.48,   90.56,   85.12,   84.35,   84.00,   81.93,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-25, 19:16:18,  +00:00,       ,             ,             ,   133.4, 30.37,        ,   9.5,   0.00,       ,  -17.59,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -6.4,  46.00,  45.40,     0.00,   91.16,    1.35,  29.87,    0.0,   89.48,   90.58,   85.11,   84.33,   84.00,   81.94,   89.45,   89.54,   89.54,   89.54,   89.45,   89.54,        ,   0,  GPS,   27.6, 113.70, 111.15, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
