#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-01-17, 22:12:05,  +00:00,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.1,  16.12,  16.21,     0.00,     0.00,   78.50,    0.00,  31.08,    0.0,   77.27,   77.33,   77.38,   77.65,   51.00,   54.38,   55.74,   53.93,        ,    ,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:05,  +00:00,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.1,  16.12,  16.21,     0.00,     0.00,   78.50,    0.00,  31.08,    0.0,   77.27,   77.33,   77.38,   77.65,   51.00,   54.38,   55.74,   53.93,        ,    ,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:06,  +00:00,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.0,  16.12,  16.21,     0.00,     0.00,   78.51,    0.00,  31.08,    0.0,   77.26,   77.33,   77.39,   77.64,   50.99,   54.39,   55.75,   53.94,        ,    ,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:07,  +00:00,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.0,  16.12,  16.21,     0.00,     0.00,   78.50,    0.00,  31.08,    0.0,   77.23,   77.31,   77.36,   77.63,   50.98,   54.37,   55.73,   53.92,        ,    ,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:08,  +00:00,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.1,  16.12,  16.21,     0.00,     0.00,   78.51,    0.00,  31.08,    0.0,   77.24,   77.29,   77.34,   77.62,   50.96,   54.36,   55.72,   53.91,        ,   0,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:09,  +00:00,       ,             ,             ,   331.9, 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  16.12,  16.21,     0.00,     0.00,   78.51,    0.00,  31.08,    0.0,   77.25,   77.29,   77.36,   77.64,   50.97,   54.39,   55.72,   53.93,        ,   0,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:10,  +00:00,       ,             ,             ,   331.9, 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  16.12,  16.21,     0.00,     0.00,   78.51,    0.00,  31.08,    0.0,   77.22,   77.28,   77.35,   77.62,   50.97,   54.38,   55.67,   53.92,        ,   0,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:11,  +00:00,       ,             ,             ,   332.9, 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.1,  16.12,  16.21,     0.00,     0.00,   78.51,    0.00,  31.08,    0.0,   77.21,   77.26,   77.33,   77.60,   50.95,   54.36,   55.65,   53.91,        ,   0,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:12,  +00:00,       ,             ,             ,   332.9, 30.27,        ,  -4.5,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.0,  16.12,  16.21,     0.00,     0.00,   78.50,    0.00,  31.08,    0.0,   77.19,   77.26,   77.31,   77.59,   50.93,   54.36,   55.65,   53.91,        ,   0,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-01-17, 22:12:13,  +00:00,       ,             ,             ,   332.9, 30.27,        ,  -4.5,   0.00,       ,    1.86,       ,       ,       ,       ,      ,      ,  24.0,  16.12,  16.21,     0.00,     0.00,   78.50,    0.00,  31.08,    0.0,   77.19,   77.23,   77.31,   77.59,   50.91,   54.37,   55.65,   53.91,        ,   0,  GPS,  291.7, 110.50, 110.50, 123.000, 135.675,       ,       ,       ,      ,       ,       ,  -14.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
