#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-02-28, 18:08:01,  +00:00,       ,   41.6728821,  -70.9599991,    99.8, 30.75,    87.5,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      ,  14.7,  24.0,  16.05,  16.14,     0.00,     1.15,  112.12,    0.00,  31.80,    0.0,  104.97,  115.95,  115.64,  122.46,   50.49,   67.45,   62.50,   75.33,   -11.0,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.6,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:01,  +00:00,       ,   41.6728821,  -70.9599991,    99.8, 30.75,    87.5,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      ,  14.7,  24.0,  16.05,  16.14,     0.00,     1.15,  112.12,    0.00,  31.80,    0.0,  104.97,  115.95,  115.64,  122.46,   50.49,   67.45,   62.50,   75.33,   -11.0,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.6,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:03,  +00:00,       ,   41.6728821,  -70.9599991,    99.8, 30.75,    88.1,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      ,  14.7,  24.1,  16.05,  16.14,     0.00,     1.14,  112.11,    0.00,  31.80,    0.0,  104.95,  115.93,  115.61,  122.43,   50.50,   67.43,   62.49,   75.28,   -10.4,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   1.8,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:04,  +00:00,       ,   41.6728821,  -70.9599991,   100.8, 30.75,    88.0,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      ,  14.7,  24.0,  16.04,  16.14,     0.00,     1.14,  112.10,    0.00,  31.80,    0.0,  104.93,  115.91,  115.58,  122.42,   50.53,   67.40,   62.49,   75.27,   -10.5,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   1.3,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:05,  +00:00,       ,   41.6728783,  -70.9600067,   100.8, 30.75,    87.9,  -0.5,   0.00,   0.00,   16.00,       ,       ,       ,       ,      ,  14.7,  24.0,  16.04,  16.14,     0.00,     1.14,  112.09,    0.00,  31.80,    0.0,  104.89,  115.87,  115.54,  122.37,   50.47,   67.36,   62.47,   75.24,   -10.6,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.1,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:07,  +00:00,       ,   41.6728783,  -70.9600067,   100.8, 30.75,    88.3,  -0.5,   0.00,   0.00,   16.00,       ,       ,       ,       ,      ,  14.7,  24.1,  16.04,  16.14,     0.00,     1.14,  112.07,    0.00,  31.80,    0.0,  104.83,  115.80,  115.48,  122.29,   50.44,   67.33,   62.41,   75.18,   -10.2,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   4.0,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:08,  +00:00,       ,   41.6728783,  -70.9600067,   100.8, 30.75,    88.0,  -0.5,   0.00,   0.00,   13.52,       ,       ,       ,       ,      ,  14.7,  24.2,  16.04,  16.14,     0.00,     1.13,  112.06,    0.00,  31.80,    0.0,  104.84,  115.79,  115.46,  122.28,   50.45,   67.33,   62.44,   75.16,   -10.5,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   0.9,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:09,  +00:00,       ,   41.6728783,  -70.9600067,   100.8, 30.75,    87.9,  -0.5,   0.00,   0.00,    6.23,       ,       ,       ,       ,      ,  14.7,  24.1,  16.04,  16.14,     0.00,     1.13,  112.06,    0.00,  31.80,    0.0,  104.81,  115.76,  115.43,  122.25,   50.46,   67.32,   62.40,   75.14,   -10.6,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   1.3,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:10,  +00:00,       ,   41.6728783,  -70.9600067,   100.8, 30.75,    87.9,  -0.5,   0.00,   0.00,    5.47,       ,       ,       ,       ,      ,  14.7,  24.0,  16.04,  16.14,     0.00,     1.13,  112.04,    0.00,  31.80,    0.0,  104.81,  115.75,  115.42,  122.23,   50.46,   67.34,   62.41,   75.15,   -10.6,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.1,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:11,  +00:00,       ,   41.6728783,  -70.9600143,   100.8, 30.75,    87.9,  -0.5,   0.00,   0.00,    0.43,       ,       ,       ,       ,      ,  14.7,  24.0,  16.04,  16.14,     0.00,     1.13,  112.03,    0.00,  31.80,    0.0,  104.80,  115.75,  115.41,  122.23,   50.47,   67.34,   62.42,   75.13,   -10.6,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.1,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:12,  +00:00,       ,   41.6728783,  -70.9600143,   101.8, 30.75,    88.0,  -0.5,   0.00,   0.00,   13.06,       ,       ,       ,       ,      ,  14.7,  24.0,  16.04,  16.14,     0.00,     1.12,  112.03,    0.00,  31.80,    0.0,  104.77,  115.71,  115.38,  122.18,   50.45,   67.31,   62.37,   75.08,   -10.5,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.2,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:13,  +00:00,       ,   41.6728783,  -70.9600143,   101.8, 30.75,    88.0,  -0.5,   0.00,   0.00,    8.33,       ,       ,       ,       ,      ,  14.7,  24.1,  16.04,  16.15,     0.00,     1.12,  112.01,    0.00,  31.80,    0.0,  104.76,  115.71,  115.37,  122.17,   50.45,   67.29,   62.38,   75.07,   -10.5,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   3.1,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:14,  +00:00,       ,   41.6728783,  -70.9600143,   101.8, 30.75,    87.9,  -0.5,   0.00,   0.00,   15.59,       ,       ,       ,       ,      ,  14.7,  24.2,  16.04,  16.15,     0.00,     1.12,  112.00,    0.00,  31.80,    0.0,  104.74,  115.68,  115.32,  122.14,   50.45,   67.29,   62.36,   75.06,   -10.6,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   1.8,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:15,  +00:00,       ,   41.6728783,  -70.9600143,   101.8, 30.75,    88.0,  -0.5,   0.00,   0.00,   15.99,       ,       ,       ,       ,      ,  14.7,  24.1,  16.04,  16.15,     0.00,     1.12,  112.00,    0.00,  31.80,    0.0,  104.70,  115.63,  115.27,  122.08,   50.41,   67.23,   62.33,   75.03,   -10.5,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   3.8,     3D, 3704,      ,       ,      ,       
2015-02-28, 18:08:16,  +00:00,       ,   41.6728783,  -70.9600143,   102.8, 30.75,    88.1,  -0.5,   0.00,   0.00,   16.00,       ,       ,       ,       ,      ,  14.7,  24.0,  16.04,  16.15,     0.00,     1.12,  111.98,    0.00,  31.80,    0.0,  104.65,  115.58,  115.22,  122.03,   50.39,   67.19,   62.30,   74.96,   -10.4,   0,  GPS,  138.2, 115.60, 110.50, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.7,       ,      ,       ,      ,      ,   2.3,     3D, 3704,      ,       ,      ,       
