#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-02-28, 23:40:31,  +00:00,       ,             ,             ,    54.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.7,  15.99,  16.11,     0.00,     0.00,   71.20,    0.00,  31.81,    0.0,   93.00,   92.26,   94.33,   92.62,   55.03,   56.15,   57.81,   54.75,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:31,  +00:00,       ,             ,             ,    54.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.7,  15.99,  16.11,     0.00,     0.00,   71.20,    0.00,  31.81,    0.0,   93.00,   92.26,   94.33,   92.62,   55.03,   56.15,   57.81,   54.75,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:33,  +00:00,       ,             ,             ,    55.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.6,  15.99,  16.11,     0.00,     0.00,   71.21,    0.00,  31.81,    0.0,   92.99,   92.24,   94.31,   92.60,   55.02,   56.15,   57.80,   54.73,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:34,  +00:00,       ,             ,             ,    55.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.4,  15.99,  16.11,     0.00,     0.00,   71.20,    0.00,  31.81,    0.0,   92.96,   92.20,   94.29,   92.58,   55.04,   56.13,   57.79,   54.70,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:35,  +00:00,       ,             ,             ,    55.6, 30.71,        ,  -2.2,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  23.6,  15.99,  16.11,     0.00,     0.00,   71.20,    0.00,  31.81,    0.0,   92.97,   92.20,   94.29,   92.57,   55.03,   56.14,   57.80,   54.73,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:36,  +00:00,       ,             ,             ,    55.6, 30.71,        ,  -2.2,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  23.7,  15.99,  16.11,     0.00,     0.00,   71.21,    0.00,  31.81,    0.0,   92.98,   92.21,   94.29,   92.57,   55.09,   56.16,   57.83,   54.77,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:37,  +00:00,       ,             ,             ,    56.6, 30.71,        ,  -2.2,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  23.8,  15.99,  16.11,     0.00,     0.00,   71.22,    0.00,  31.81,    0.0,   92.96,   92.19,   94.29,   92.58,   55.09,   56.15,   57.82,   54.77,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:38,  +00:00,       ,             ,             ,    56.6, 30.71,        ,  -2.2,   0.00,       ,   12.70,       ,       ,       ,       ,      ,      ,  23.9,  15.99,  16.11,     0.00,     0.00,   71.21,    0.00,  31.81,    0.0,   92.98,   92.21,   94.31,   92.59,   55.11,   56.18,   57.84,   54.79,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:39,  +00:00,       ,             ,             ,    56.6, 30.71,        ,  -2.2,   0.00,       ,   15.76,       ,       ,       ,       ,      ,      ,  23.8,  15.99,  16.11,     0.00,     0.00,   71.21,    0.00,  31.81,    0.0,   92.94,   92.17,   94.26,   92.54,   55.08,   56.16,   57.80,   54.76,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-02-28, 23:40:40,  +00:00,       ,             ,             ,    56.6, 30.71,        ,  -2.2,   0.00,       ,   15.99,       ,       ,       ,       ,      ,      ,  23.7,  15.99,  16.12,     0.00,     0.00,   71.22,    0.00,  31.81,    0.0,   92.95,   92.19,   94.27,   92.56,   55.10,   56.17,   57.85,   54.78,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
