#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171005_074242", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-05, 07:42:42,  -05:00,       ,             ,             ,  1549.6, 30.25,        ,  19.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  20.30,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:43,  -05:00,       ,             ,             ,  1548.6, 30.25,        ,  19.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  20.30,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:44,  -05:00,       ,             ,             ,  1548.6, 30.25,        ,  19.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  20.30,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:45,  -05:00,       ,             ,             ,  1548.6, 30.25,        ,  19.5,   0.00,       ,  -31.52,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -9.0,       ,       ,     0.00,   67.91,    0.01,  28.96,    0.0,    0.00,   68.20,   68.00,   68.28,   67.88,   68.09,   67.85,   66.39,   65.99,   66.25,   65.81,   66.21,   65.90,   65.35,   65.35,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:46,  -05:00,       ,             ,             ,  1548.6, 30.25,        ,  19.5,   0.00,       ,  -31.98,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -9.0,  20.15,  20.99,     0.00,   67.89,    0.02,  28.96,    0.0,    0.00,   68.20,   68.02,   68.28,   67.90,   68.08,   67.85,   66.40,   65.98,   66.30,   65.84,   66.24,   65.92,   65.38,   65.38,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:47,  -05:00,       ,             ,             ,  1547.6, 30.25,        ,  19.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -9.0,  20.12,  21.01,     0.00,   67.89,    0.02,  28.96,    0.0,    0.00,   68.22,   68.02,   68.26,   67.88,   68.08,   67.85,   66.36,   65.98,   66.25,   65.80,   66.21,   65.88,   65.35,   65.35,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:48,  -05:00,       ,             ,             ,  1547.6, 30.25,        ,  19.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -9.0,  20.10,  21.03,     0.00,   67.89,    0.02,  28.96,    0.0,    0.00,   68.22,   68.02,   68.28,   67.91,   68.08,   67.86,   66.37,   65.96,   66.25,   65.83,   66.21,   65.88,   65.35,   65.35,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:49,  -05:00,       ,             ,             ,  1547.6, 30.25,        ,  19.5,   0.00,       ,  -31.87,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -9.0,  20.09,  21.03,     0.00,   67.89,    0.02,  28.96,    0.0,    0.00,   68.22,   68.02,   68.28,   67.88,   68.08,   67.85,   66.37,   65.93,   66.25,   65.83,   66.21,   65.89,   65.35,   65.35,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:50,  -05:00,       ,             ,             ,  1546.6, 30.25,        ,  19.5,   0.00,       ,  -21.69,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -8.9,  20.06,  21.05,     0.00,   67.91,    0.01,  28.96,    0.0,    0.00,   68.22,   68.02,   68.28,   67.90,   68.08,   67.87,   66.40,   65.95,   66.28,   65.81,   66.21,   65.91,   65.35,   65.35,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-05, 07:42:51,  -05:00,       ,             ,             ,  1546.6, 30.25,        ,  19.5,   0.00,       ,  -17.16,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -8.9,  20.05,  21.06,     0.00,   67.90,    0.01,  28.96,    0.0,    0.00,   68.22,   68.04,   68.28,   67.91,   68.09,   67.87,   66.40,   65.97,   66.25,   65.80,   66.21,   65.91,   65.35,   65.35,        ,   0,  GPS,  220.1, 112.60, 112.60, 121.900, 123.350,       ,       ,       ,      ,       ,       ,   -0.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
