#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171017_195024", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-17, 19:50:24,  -04:00,       ,             ,             ,   -19.6, 30.24,        ,  10.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.4,  24.8, -10.9,  25.68,  27.91,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-17, 19:50:25,  -04:00,       ,             ,             ,   -20.6, 30.24,        ,  11.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  25.68,  27.91,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-17, 19:50:26,  -04:00,       ,             ,             ,   -20.6, 30.24,        ,  11.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.4,      ,  -9.7,  25.68,  27.91,     0.00,  137.30,   -0.42,  30.30,       ,        ,  139.61,  139.84,        ,        ,  136.74,  130.15,        ,        ,  124.71,  123.80,        ,        ,        ,  110.43,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-17, 19:50:27,  -04:00,       ,             ,             ,   -20.6, 30.24,        ,  11.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.4,  24.8,  -9.5,  25.59,  27.82,     0.00,        ,        ,       ,    0.0,    0.00,        ,        ,        ,  140.86,  136.72,  130.15,  122.45,  124.96,  124.67,  123.79,  122.23,  116.65,  114.38,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-17, 19:50:28,  -04:00,       ,             ,             ,   -21.6, 30.24,        ,  11.0,   0.00,       ,  -30.96,       ,       ,       ,       ,      ,      ,  25.4,  24.8,  -9.5,  25.59,  27.82,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-17, 19:50:29,  -04:00,       ,             ,             ,   -21.6, 30.24,        ,  11.0,   0.00,       ,  -31.37,       ,       ,       ,       ,      ,      ,      ,      ,      ,  25.59,  27.82,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-17, 19:50:30,  -04:00,       ,             ,             ,   -21.6, 30.24,        ,  11.0,   0.00,       ,  -31.79,       ,       ,       ,       ,      ,      ,      ,      ,      ,  25.59,  27.82,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-17, 19:50:31,  -04:00,       ,             ,             ,   -21.6, 30.24,        ,  11.0,   0.00,       ,  -22.08,       ,       ,       ,       ,      ,      ,  25.4,      ,  -8.4,       ,       ,     0.00,  137.27,   -0.43,  30.31,       ,        ,  139.54,  139.77,        ,        ,  136.66,  130.08,        ,        ,  124.61,  123.74,        ,        ,        ,  110.52,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-17, 19:50:32,  -04:00,       ,             ,             ,   -21.6, 30.24,        ,  10.8,   0.00,       ,  -16.25,       ,       ,       ,       ,      ,      ,  25.4,  24.8,  -8.3,  25.53,  27.73,     0.00,  137.24,   -0.43,  30.31,    0.0,    0.00,  139.54,  139.73,  143.25,  140.77,  136.66,  130.06,  122.42,  124.94,  124.63,  123.79,  122.21,  116.62,  114.37,  110.52,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-17, 19:50:33,  -04:00,       ,             ,             ,   -22.6, 30.24,        ,  11.0,   0.00,       ,  -16.01,       ,       ,       ,       ,      ,      ,  25.4,  24.8,  -8.2,  25.52,  27.71,     0.00,  137.24,   -0.44,  30.30,    0.0,    0.00,  139.54,  139.75,  143.25,  140.78,  136.64,  130.06,  122.41,  124.93,  124.58,  123.72,  122.18,  116.61,  114.37,  110.52,        ,   0,  GPS,  240.0, 109.30, 109.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
