#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171018_201752", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-18, 20:17:52,  -04:00,       ,             ,             ,    37.6, 30.25,        ,  13.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.5,  24.9,  -6.1,  22.17,  21.09,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-18, 20:17:53,  -04:00,       ,             ,             ,    37.6, 30.25,        ,  13.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  22.17,  21.09,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-18, 20:17:54,  -04:00,       ,             ,             ,    36.6, 30.25,        ,  13.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  22.17,  21.09,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-18, 20:17:55,  -04:00,       ,             ,             ,    36.6, 30.25,        ,  13.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.5,  24.9,  -6.2,  22.13,       ,     0.00,  143.17,   -0.45,  30.19,    0.0,    0.00,  146.61,  148.63,  147.81,  147.36,  139.62,  136.45,  114.81,  118.35,  116.64,  117.80,  115.83,  113.87,  103.36,   99.28,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-18, 20:17:56,  -04:00,       ,             ,             ,    36.6, 30.25,        ,  13.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.5,  24.9,  -6.2,  22.13,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-18, 20:17:57,  -04:00,       ,             ,             ,    35.6, 30.25,        ,  13.8,   0.00,       ,  -19.43,       ,       ,       ,       ,      ,      ,      ,      ,      ,  22.13,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-18, 20:17:58,  -04:00,       ,             ,             ,    35.6, 30.25,        ,  13.8,   0.00,       ,  -16.74,       ,       ,       ,       ,      ,      ,      ,      ,      ,  22.13,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-18, 20:17:59,  -04:00,       ,             ,             ,    35.6, 30.25,        ,  13.8,   0.00,       ,  -28.99,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-18, 20:18:00,  -04:00,       ,             ,             ,    35.6, 30.25,        ,  13.8,   0.00,       ,  -28.88,       ,       ,       ,       ,      ,      ,  25.5,  24.9,  -6.3,  22.11,       ,     0.00,  143.16,   -0.46,  30.20,    0.0,    0.00,  146.60,  148.63,  147.82,  147.36,  139.62,  136.40,  114.80,  118.32,  116.65,  117.80,  115.85,  113.86,  103.31,   99.24,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-18, 20:18:01,  -04:00,       ,             ,             ,    34.6, 30.25,        ,  13.8,   0.00,       ,  -20.95,       ,       ,       ,       ,      ,      ,  25.5,  24.9,  -6.4,  22.11,  20.99,     0.00,  143.16,   -0.45,  30.19,    0.0,    0.00,  146.60,  148.62,  147.81,  147.34,  139.60,  136.40,  114.82,  118.35,  116.60,  117.80,  115.86,  113.83,  103.31,   99.27,        ,   0,  GPS,  240.0, 109.30, 109.30, 121.400, 126.250,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
