#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171024_135333", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-24, 13:53:33,  -04:00,       ,             ,             ,   750.7, 30.14,        ,  16.8,   0.00,       ,   -1.35,       ,       ,       ,       ,      ,      ,  24.8,  24.2,  -5.3,  46.00,  45.04,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:34,  -04:00,       ,             ,             ,   749.7, 30.14,        ,  16.8,   0.00,       ,   -2.52,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  45.04,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:35,  -04:00,       ,             ,             ,   748.7, 30.14,        ,  16.8,   0.00,       ,  -21.13,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  45.04,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:36,  -04:00,       ,             ,             ,   748.7, 30.14,        ,  16.8,   0.00,       ,  -31.47,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -5.6,       ,       ,     0.00,   63.37,   -0.31,  29.63,    0.0,    0.00,   62.74,   62.63,   62.86,   62.05,   62.57,   62.08,   79.42,   79.42,   79.42,   79.42,   79.42,   79.42,   79.42,   79.42,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:37,  -04:00,       ,             ,             ,   748.7, 30.14,        ,  16.8,   0.00,       ,  -28.55,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -5.6,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:38,  -04:00,       ,             ,             ,   748.7, 30.14,        ,  16.8,   0.00,       ,  -31.72,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:39,  -04:00,       ,             ,             ,   747.7, 30.14,        ,  16.8,   0.00,       ,  -31.99,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:40,  -04:00,       ,             ,             ,   747.7, 30.14,        ,  16.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:41,  -04:00,       ,             ,             ,   747.7, 30.14,        ,  16.8,   0.00,       ,  -23.91,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -5.6,       ,       ,     0.00,   63.40,   -0.29,  29.65,    0.0,    0.00,   62.74,   62.65,   62.89,   62.05,   62.60,   62.08,   79.42,   79.42,   79.42,   79.42,   79.42,   79.42,   79.42,   79.42,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:42,  -04:00,       ,             ,             ,   747.7, 30.14,        ,  16.8,   0.00,       ,  -26.27,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -5.6,  46.00,  44.85,     0.00,   63.38,   -0.28,  29.64,    0.0,    0.00,   62.74,   62.65,   62.89,   62.05,   62.60,   62.08,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:43,  -04:00,       ,             ,             ,   746.7, 30.14,        ,  16.8,   0.00,       ,  -30.97,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -5.5,  46.00,  44.83,     0.00,   63.39,   -0.28,  29.64,    0.0,    0.00,   62.77,   62.65,   62.88,   62.05,   62.60,   62.08,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:44,  -04:00,       ,             ,             ,   746.7, 30.14,        ,  16.8,   0.00,       ,  -28.33,       ,       ,       ,       ,      ,      ,  24.8,  24.2,  -5.5,  46.00,  44.82,     0.00,   63.39,   -0.29,  29.64,    0.0,    0.00,   62.74,   62.63,   62.89,   62.07,   62.60,   62.10,   79.38,   79.38,   79.38,   79.38,   79.38,   79.38,   79.38,   79.38,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:45,  -04:00,       ,             ,             ,   746.7, 30.14,        ,  16.8,   0.00,       ,  -16.70,       ,       ,       ,       ,      ,      ,  24.8,  24.2,  -5.5,  46.00,  44.81,     0.00,   63.40,   -0.29,  29.64,    0.0,    0.00,   62.74,   62.65,   62.89,   62.05,   62.60,   62.10,   79.38,   79.38,   79.38,   79.38,   79.38,   79.38,   79.38,   79.38,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 13:53:46,  -04:00,       ,             ,             ,   745.7, 30.14,        ,  16.8,   0.00,       ,  -31.29,       ,       ,       ,       ,      ,      ,  24.8,  24.2,  -5.6,  46.00,  44.81,     0.00,   63.39,   -0.29,  29.63,    0.0,    0.00,   62.74,   62.65,   62.89,   62.07,   62.60,   62.08,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,   79.35,        ,   0,  GPS,   80.0, 108.20, 115.30, 118.200, 121.700,       ,       ,       ,      ,       ,       ,  -10.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
