#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171024_152157", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-24, 15:21:57,  -04:00,       ,             ,             ,   701.6, 29.63,        ,  16.2,   0.00,       ,  -20.60,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -4.7,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-24, 15:21:58,  -04:00,       ,             ,             ,   701.6, 29.63,        ,  16.2,   0.00,       ,  -16.18,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-24, 15:21:59,  -04:00,       ,             ,             ,   701.6, 29.63,        ,  16.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-24, 15:22:00,  -04:00,       ,             ,             ,   701.6, 29.63,        ,  16.2,   0.00,       ,  -16.13,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.0,       ,       ,     0.00,  166.18,   -0.94,  28.95,    0.0,    0.00,  187.95,  193.59,  174.98,  180.50,  162.36,  127.74,  160.99,  179.42,  141.76,  145.08,  114.65,  111.45,  255.94,  218.30,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-24, 15:22:01,  -04:00,       ,             ,             ,   700.6, 29.63,        ,  16.2,   0.00,       ,  -30.65,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.0,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 15:22:02,  -04:00,       ,             ,             ,   699.6, 29.63,        ,  16.2,   0.00,       ,  -31.96,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 15:22:03,  -04:00,       ,             ,             ,   699.6, 29.63,        ,  16.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 15:22:04,  -04:00,       ,             ,             ,   699.6, 29.63,        ,  16.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 15:22:05,  -04:00,       ,             ,             ,   699.6, 29.63,        ,  16.2,   0.00,       ,  -22.95,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.4,       ,       ,     0.00,  166.16,   -0.94,  28.95,    0.0,    0.00,  187.83,  193.50,  174.89,  180.37,  162.28,  127.71,  160.91,  179.03,  141.55,  144.96,  114.62,  111.35,  255.49,  217.70,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-24, 15:22:06,  -04:00,       ,             ,             ,   699.6, 29.63,        ,  16.2,   0.00,       ,   -8.21,       ,       ,       ,       ,      ,      ,  25.3,  24.6,  -5.4,  46.00,  46.00,     0.00,  166.16,   -0.94,  28.95,    0.0,    0.00,  187.81,  193.48,  174.86,  180.34,  162.27,  127.71,  160.94,  178.95,  141.47,  144.89,  114.61,  111.32,  255.40,  217.67,        ,   0,  GPS,  232.0, 111.30, 111.30, 120.500, 133.200,       ,       ,       ,      ,       ,       ,  -10.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
