#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171026_144936", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-26, 14:49:36,  -04:00,       ,             ,             ,   791.8, 29.84,        ,  19.5,   0.00,       ,  -22.88,       ,       ,       ,       ,      ,      ,  24.6,  23.9, -10.5,  30.78,  24.09,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 14:49:36,  -04:00,       ,             ,             ,   792.8, 29.84,        ,  19.5,   0.00,       ,  -10.39,       ,       ,       ,       ,      ,      ,      ,      ,      ,  30.78,  24.09,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 14:49:37,  -04:00,       ,             ,             ,   791.8, 29.84,        ,  19.5,   0.00,       ,  -16.60,       ,       ,       ,       ,      ,      ,      ,      ,      ,  30.78,  24.09,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 14:49:38,  -04:00,       ,             ,             ,   790.8, 29.84,        ,  19.5,   0.00,       ,  -36.48,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -8.7,       ,       ,     0.00,   64.26,   -0.38,  29.19,    0.0,    0.00,   61.41,   64.07,   61.44,   64.07,   61.12,   64.19,   89.41,   89.41,   89.41,   89.41,   89.41,   89.41,   89.41,   89.41,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 14:49:39,  -04:00,       ,             ,             ,   789.8, 29.84,        ,  19.5,   0.00,       ,  -47.45,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -8.7,  30.78,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 14:49:40,  -04:00,       ,             ,             ,   789.8, 29.84,        ,  19.5,   0.00,       ,  -47.98,       ,       ,       ,       ,      ,      ,      ,      ,      ,  30.78,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 14:49:41,  -04:00,       ,             ,             ,   789.8, 29.84,        ,  19.5,   0.00,       ,  -26.53,       ,       ,       ,       ,      ,      ,      ,      ,      ,  30.78,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 14:49:42,  -04:00,       ,             ,             ,   790.8, 29.84,        ,  19.5,   0.00,       ,   -3.43,       ,       ,       ,       ,      ,      ,      ,      ,      ,  30.78,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 14:49:43,  -04:00,       ,             ,             ,   789.8, 29.84,        ,  19.5,   0.00,       ,   -0.73,       ,       ,       ,       ,      ,      ,  24.8,  24.0,  -7.5,       ,       ,     0.00,   64.30,   -0.38,  29.19,    0.0,    0.00,   61.44,   64.08,   61.47,   64.08,   61.15,   64.22,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 14:49:44,  -04:00,       ,             ,             ,   789.8, 29.84,        ,  19.5,   0.00,       ,  -14.86,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -7.2,  30.78,  23.87,     0.00,   64.30,   -0.37,  29.20,    0.0,    0.00,   61.44,   64.08,   61.49,   64.11,   61.15,   64.22,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,   89.45,        ,   0,  GPS,  258.6, 110.70, 110.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,   -4.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
