#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171026_202237", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-10-26, 20:22:37,  -04:00,       ,             ,             ,    30.4, 29.79,        ,  11.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.3,  24.6,  -6.2,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 20:22:38,  -04:00,       ,             ,             ,    29.4, 29.79,        ,  11.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 20:22:39,  -04:00,       ,             ,             ,    29.4, 29.79,        ,  11.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 20:22:40,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.6,  -6.5,       ,       ,     0.00,  161.59,   -0.77,  29.68,    0.0,    0.00,  202.50,  201.44,  196.32,  194.24,  187.57,  180.37,  189.70,  198.10,  152.45,  156.95,  140.81,  139.00,  288.12,  252.03,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-10-26, 20:22:41,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.2,   0.00,       ,  -26.05,       ,       ,       ,       ,      ,      ,  25.2,  24.6,  -6.5,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 20:22:42,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.5,   0.00,       ,  -16.50,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 20:22:43,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.5,   0.00,       ,  -16.01,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 20:22:44,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 20:22:45,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.3,  24.6,  -6.5,       ,       ,     0.00,  161.59,   -0.75,  29.69,    0.0,    0.00,  202.40,  201.34,  196.20,  194.16,  187.48,  180.31,  189.05,  198.05,  152.20,  156.66,  140.63,  138.81,  287.69,  251.05,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-10-26, 20:22:46,  -04:00,       ,             ,             ,    28.4, 29.79,        ,  11.2,   0.00,       ,  -16.61,       ,       ,       ,       ,      ,      ,  25.3,  24.6,  -6.5,  46.00,  46.00,     0.00,  161.60,   -0.76,  29.69,    0.0,    0.00,  202.36,  201.34,  196.20,  194.12,  187.46,  180.28,  189.09,  198.00,  152.23,  156.64,  140.60,  138.81,  287.49,  251.08,        ,   0,  GPS,   20.0, 117.60, 114.30, 124.800, 133.650,       ,       ,       ,      ,       ,       ,  -13.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
