#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20171111_102434", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-11-11, 10:24:34,  -05:00,       ,             ,             ,   743.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:35,  -05:00,       ,             ,             ,   742.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,       ,       ,     0.00,   46.96,   -0.42,  29.67,    0.0,    0.00,   47.43,   45.75,   47.42,   45.83,   46.96,   45.58,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:36,  -05:00,       ,             ,             ,   744.1, 30.11,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:37,  -05:00,       ,             ,             ,   743.1, 30.11,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:38,  -05:00,       ,             ,             ,   743.1, 30.11,        ,   9.5,   0.00,       ,  -16.13,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:39,  -05:00,       ,             ,             ,   742.1, 30.11,        ,   9.5,   0.00,       ,  -30.06,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:40,  -05:00,       ,             ,             ,   742.1, 30.11,        ,   9.5,   0.00,       ,  -21.34,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,       ,       ,     0.00,   46.98,   -0.40,  29.68,    0.0,    0.00,   47.48,   45.75,   47.43,   45.84,   46.97,   45.61,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:41,  -05:00,       ,             ,             ,   742.1, 30.11,        ,   9.5,   0.00,       ,  -30.99,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.98,   -0.39,  29.68,    0.0,    0.00,   47.48,   45.78,   47.45,   45.87,   46.97,   45.61,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:42,  -05:00,       ,             ,             ,   742.1, 30.11,        ,   9.5,   0.00,       ,  -19.67,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.99,   -0.39,  29.68,    0.0,    0.00,   47.49,   45.78,   47.46,   45.87,   46.99,   45.61,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:43,  -05:00,       ,             ,             ,   741.1, 30.11,        ,   9.5,   0.00,       ,  -26.84,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.99,   -0.40,  29.68,    0.0,    0.00,   47.49,   45.78,   47.46,   45.86,   46.99,   45.61,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:44,  -05:00,       ,             ,             ,   741.1, 30.11,        ,   9.5,   0.00,       ,  -20.13,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.98,   -0.40,  29.68,    0.0,    0.00,   47.49,   45.78,   47.46,   45.87,   46.99,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:45,  -05:00,       ,             ,             ,   740.1, 30.11,        ,   9.5,   0.00,       ,  -31.23,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.99,   -0.40,  29.68,    0.0,    0.00,   47.50,   45.78,   47.46,   45.87,   46.99,   45.63,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:46,  -05:00,       ,             ,             ,   740.1, 30.11,        ,   9.5,   0.00,       ,  -32.29,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.99,   -0.39,  29.68,    0.0,    0.00,   47.49,   45.78,   47.45,   45.86,   46.99,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:47,  -05:00,       ,             ,             ,   741.1, 30.11,        ,   9.5,   0.00,       ,  -14.93,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.99,   -0.39,  29.68,    0.0,    0.00,   47.51,   45.77,   47.44,   45.87,   47.01,   45.63,   59.92,   59.92,   59.92,   59.92,   59.92,   59.92,   59.92,   59.92,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:48,  -05:00,       ,             ,             ,   740.1, 30.11,        ,   9.5,   0.00,       ,   -5.58,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   46.99,   -0.39,  29.68,    0.0,    0.00,   47.49,   45.78,   47.46,   45.87,   46.99,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:49,  -05:00,       ,             ,             ,   740.1, 30.11,        ,   9.5,   0.00,       ,  -15.56,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.00,   -0.40,  29.68,    0.0,    0.00,   47.51,   45.78,   47.46,   45.89,   46.99,   45.63,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,   59.96,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:50,  -05:00,       ,             ,             ,   739.1, 30.11,        ,   9.5,   0.00,       ,  -29.93,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.00,   -0.41,  29.68,    0.0,    0.00,   47.51,   45.78,   47.46,   45.89,   47.01,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:51,  -05:00,       ,             ,             ,   738.1, 30.11,        ,   9.5,   0.00,       ,  -43.94,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.01,   -0.39,  29.68,    0.0,    0.00,   47.51,   45.78,   47.46,   45.89,   46.99,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:52,  -05:00,       ,             ,             ,   738.1, 30.11,        ,   9.5,   0.00,       ,  -33.02,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.00,   -0.38,  29.68,    0.0,    0.00,   47.51,   45.78,   47.46,   45.89,   47.00,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:53,  -05:00,       ,             ,             ,   737.1, 30.11,        ,   9.5,   0.00,       ,  -54.46,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.02,   -0.38,  29.68,    0.0,    0.00,   47.51,   45.78,   47.46,   45.89,   47.02,   45.63,   60.03,   60.03,   60.03,   60.03,   60.03,   60.03,   60.03,   60.03,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:55,  -05:00,       ,             ,             ,   737.1, 30.11,        ,   9.5,   0.00,       ,  -34.06,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.01,   -0.38,  29.68,    0.0,    0.00,   47.51,   45.79,   47.48,   45.89,   46.99,   45.63,   60.03,   60.03,   60.03,   60.03,   60.03,   60.03,   60.03,   60.03,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:56,  -05:00,       ,             ,             ,   737.1, 30.11,        ,   9.5,   0.00,       ,  -31.94,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.8,  46.00,  46.00,     0.00,   47.01,   -0.38,  29.68,    0.0,    0.00,   47.50,   45.79,   47.46,   45.89,   46.99,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:57,  -05:00,       ,             ,             ,   737.1, 30.11,        ,   9.5,   0.00,       ,  -22.15,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.01,   -0.37,  29.68,    0.0,    0.00,   47.51,   45.80,   47.48,   45.89,   47.02,   45.64,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-11-11, 10:24:58,  -05:00,       ,             ,             ,   735.1, 30.11,        ,   9.5,   0.00,       ,  -44.02,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -4.9,  46.00,  46.00,     0.00,   47.01,   -0.38,  29.68,    0.0,    0.00,   47.49,   45.80,   47.48,   45.89,   47.01,   45.63,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,   59.99,        ,   0,  GPS,  279.6, 111.90, 111.90, 125.900, 128.125,       ,       ,       ,      ,       ,       ,   -5.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
