#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:07,  -05:00,       ,             ,             ,        , 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:08,  -05:00,       ,             ,             ,   102.6, 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:09,  -05:00,       ,             ,             ,   102.6, 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-12-04, 13:23:09,  -05:00,       ,             ,             ,   101.6, 30.46,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:10,  -05:00,       ,             ,             ,   101.6, 30.46,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:11,  -05:00,       ,             ,             ,   100.6, 30.46,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.4,  24.8, -11.4,       ,       ,     0.00,  157.69,   -0.89,  30.27,    0.0,    0.00,  178.50,  175.77,  175.13,  171.21,  169.89,  161.71,  146.81,  140.95,  136.65,  126.80,  132.63,  113.18,  321.97,  157.63,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:12,  -05:00,       ,             ,             ,   100.6, 30.46,        ,   9.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.4,  24.7, -11.1,  31.89,  32.46,     0.00,  157.69,   -0.90,  30.26,    0.0,    0.00,  178.50,  175.78,  175.10,  171.22,  169.87,  161.69,  146.77,  140.98,  136.66,  126.83,  132.65,  113.14,  329.69,  157.54,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-04, 13:23:13,  -05:00,       ,             ,             ,   100.6, 30.46,        ,   9.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.4,  24.8, -10.7,  31.88,  32.46,     0.00,  157.70,   -0.89,  30.27,    0.0,    0.00,  178.50,  175.78,  175.12,  171.23,  169.87,  161.69,  146.74,  140.97,  136.73,  126.81,  132.65,  113.14,  338.51,  157.45,        ,   0,  GPS,   53.8, 109.70, 109.70, 118.100, 126.850,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
