#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-20, 14:47:15,  -05:00,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-20, 14:47:16,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-20, 14:47:17,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-12-20, 14:47:17,  -05:00,       ,             ,             ,   191.5, 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-20, 14:47:18,  -05:00,       ,             ,             ,   190.5, 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-20, 14:47:19,  -05:00,       ,             ,             ,   190.5, 29.99,        ,   8.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -5.9,       ,       ,     0.00,  102.10,   -0.56,  29.87,    0.0,    0.00,  101.21,  102.23,  103.18,  102.63,  100.00,   98.77,   79.02,   79.87,   80.69,   79.32,   79.92,   77.06,  182.13,   63.92,        ,   0,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-20, 14:47:20,  -05:00,       ,             ,             ,   189.5, 29.99,        ,   8.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -6.0,  43.49,  41.40,     0.00,  102.10,   -0.57,  29.87,    0.0,    0.00,  101.23,  102.22,  103.18,  102.66,  100.01,   98.76,   79.01,   79.89,   80.72,   79.33,   79.90,   77.12,  185.66,   63.92,        ,   0,  GPS,  271.0, 111.10, 111.10, 126.900, 121.700,       ,       ,       ,      ,       ,       ,  -12.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
