#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.19,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.19,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.19,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-24, 11:39:58,  -05:00,       ,             ,             ,        , 30.19,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-24, 11:39:59,  -05:00,       ,             ,             ,        , 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-24, 11:40:00,  -05:00,       ,             ,             ,   125.6, 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-12-24, 11:39:57,  -05:00,       ,             ,             ,   124.6, 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-24, 11:39:58,  -05:00,       ,             ,             ,   124.6, 30.19,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-24, 11:39:59,  -05:00,       ,             ,             ,   123.6, 30.19,        ,  23.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -4.2,       ,       ,     0.00,   68.68,   -0.56,  30.29,    0.0,        ,   68.81,   68.86,   69.07,   69.00,   69.56,   70.95,   68.40,   68.37,   68.35,   68.42,   68.73,   69.49,  700.06,   68.35,        ,   0,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-24, 11:40:01,  -05:00,       ,             ,             ,   123.6, 30.19,        ,  23.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -4.3,  14.65,  15.10,     0.00,   68.69,   -0.57,  30.28,    0.0,    0.00,   68.81,   68.87,   69.07,   69.00,   69.58,   70.98,   68.43,   68.42,   68.35,   68.42,   68.75,   69.52,  506.54,   68.35,        ,   0,  GPS,  180.0, 113.50, 109.80, 123.050, 123.050,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
