#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:37:55,  -05:00,       ,             ,             ,        , 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:37:56,  -05:00,       ,             ,             ,        , 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:37:57,  -05:00,       ,             ,             ,    68.3, 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2017-12-26, 15:37:57,  -05:00,       ,             ,             ,    67.3, 30.44,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:37:58,  -05:00,       ,             ,             ,    67.3, 30.44,        ,   2.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:37:59,  -05:00,       ,             ,             ,    67.3, 30.44,        ,   2.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.3,       ,       ,     0.00,  146.23,   -0.82,  30.34,    0.0,    0.00,  170.11,  171.16,  168.12,  169.45,  162.60,  159.15,  142.60,  147.08,  131.12,  134.29,  124.96,  124.30,  391.59,  160.09,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:00,  -05:00,       ,             ,             ,    66.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.4,  38.58,  37.64,     0.00,  146.25,   -0.82,  30.35,    0.0,    0.00,  170.13,  171.14,  168.09,  169.43,  162.58,  159.15,  142.54,  147.05,  131.19,  134.27,  124.93,  124.27,  404.39,  159.98,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:01,  -05:00,       ,             ,             ,    66.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.5,  38.55,  37.63,     0.00,  146.25,   -0.82,  30.35,    0.0,    0.00,  170.10,  171.14,  168.07,  169.42,  162.55,  159.12,  142.62,  147.09,  131.20,  134.31,  125.03,  124.34,  412.37,  159.98,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:02,  -05:00,       ,             ,             ,    65.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.6,  38.53,  37.62,     0.00,  146.26,   -0.82,  30.34,    0.0,    0.00,  170.07,  171.11,  168.03,  169.42,  162.54,  159.12,  142.60,  147.11,  131.23,  134.37,  125.05,  124.34,  424.05,  159.83,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:03,  -05:00,       ,             ,             ,    65.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.7,  38.51,  37.62,     0.00,  146.25,   -0.82,  30.34,    0.0,    0.00,  170.05,  171.11,  168.01,  169.39,  162.52,  159.09,  142.53,  147.07,  131.20,  134.34,  125.02,  124.36,  437.49,  159.73,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:04,  -05:00,       ,             ,             ,    65.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.7,  38.49,  37.61,     0.00,  146.26,   -0.81,  30.34,    0.0,    0.00,  170.05,  171.10,  168.00,  169.39,  162.48,  159.06,  142.48,  146.97,  131.21,  134.33,  124.98,  124.28,  445.76,  159.59,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:05,  -05:00,       ,             ,             ,    64.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -7.7,  38.47,  37.61,     0.00,  146.26,   -0.82,  30.34,    0.0,    0.00,  170.02,  171.08,  167.98,  169.34,  162.46,  159.06,  142.57,  147.11,  131.27,  134.40,  125.11,  124.41,  452.43,  159.65,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:06,  -05:00,       ,             ,             ,    64.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -7.8,  38.45,  37.61,     0.00,  146.23,   -0.83,  30.34,    0.0,    0.00,  169.99,  171.08,  167.95,  169.32,  162.46,  159.03,  142.61,  147.08,  131.28,  134.41,  125.13,  124.44,  461.08,  159.58,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2017-12-26, 15:38:07,  -05:00,       ,             ,             ,    64.3, 30.44,        ,   2.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -7.9,  38.43,  37.60,     0.00,  146.24,   -0.83,  30.34,    0.0,    0.00,  169.99,  171.05,  167.92,  169.29,  162.43,  159.00,  142.60,  147.07,  131.27,  134.38,  125.13,  124.38,  470.78,  159.61,        ,   0,  GPS,  280.0, 116.90, 112.20, 123.000, 118.375,       ,       ,       ,      ,       ,       ,  -11.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
