#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.12,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.12,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.12,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:50,  -06:00,       ,             ,             ,   394.3, 30.12,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:51,  -06:00,       ,             ,             ,   394.3, 30.12,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:52,  -06:00,       ,             ,             ,   394.3, 30.12,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:52,  -06:00,       ,             ,             ,   393.3, 30.12,        ,  25.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:53,  -06:00,       ,             ,             ,   393.3, 30.12,        ,  25.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:54,  -06:00,       ,             ,             ,   393.3, 30.12,        ,  25.5,   0.00,       ,  -20.66,       ,       ,       ,       ,      ,      ,  25.4,  24.8,  -5.1,       ,       ,     0.00,  127.85,   -0.93,  29.85,    0.0,    0.00,  126.57,  130.20,  122.75,  128.90,  114.26,  116.20,  106.35,  113.58,  107.49,  111.58,  100.63,  102.03,  360.14,  100.63,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-06, 15:31:55,  -06:00,       ,             ,             ,   393.3, 30.12,        ,  25.5,   0.00,       ,  -23.02,       ,       ,       ,       ,      ,      ,  25.4,  24.8,  -5.2,  46.00,  46.00,     0.00,  127.84,   -0.93,  29.86,    0.0,    0.00,  126.57,  130.20,  122.73,  128.90,  114.26,  116.17,  106.35,  113.69,  107.48,  111.58,  100.63,  102.03,  360.98,  100.63,        ,   0,  GPS,  273.0, 113.30, 113.40, 118.500, 128.700,       ,       ,       ,      ,       ,       ,    3.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
