#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:50,  -06:00,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:51,  -06:00,       ,             ,             ,   629.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:52,  -06:00,       ,             ,             ,   628.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:51,  -06:00,       ,             ,             ,   628.1, 30.28,        ,  22.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:52,  -06:00,       ,             ,             ,   627.1, 30.28,        ,  22.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:53,  -06:00,       ,             ,             ,   627.1, 30.28,        ,  22.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.3, -11.0,  37.66,  33.47,     0.00,  101.12,   -0.84,  29.83,    0.0,    0.00,   97.35,   98.92,   95.39,   95.88,   89.94,   91.78,   88.16,   88.15,   88.15,   88.16,   88.16,   88.15,  296.98,   88.15,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-03-08, 15:16:54,  -06:00,       ,             ,             ,   627.1, 30.28,        ,  22.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.3, -10.6,  37.72,  33.43,     0.00,  101.13,   -0.84,  29.83,    0.0,    0.00,   97.36,   98.95,   95.40,   95.89,   89.94,   91.76,   88.16,   88.16,   88.16,   88.16,   88.16,   88.16,  301.91,   88.16,        ,   0,  GPS,   80.0, 113.80, 113.80, 121.000, 121.900,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
