#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,   112.8, 30.05,        ,   2.5,   0.00,       ,  -15.93,   2.26,  -1.19,   0.02,   0.00, 170.5,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   112.8, 30.05,        ,   2.5,   0.00,       ,   -7.05,   2.27,  -1.19,   0.02,   0.00, 170.5,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   112.8, 30.05,        ,   2.5,   0.00,       ,   -8.37,   2.27,  -1.18,   0.02,   0.00, 170.5,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-06, 13:25:11,  -04:00,       ,             ,             ,   112.8, 30.05,        ,   2.5,   0.00,       ,   -0.40,   2.26,  -1.16,   0.02,   0.00, 170.5,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-06, 13:25:12,  -04:00,       ,   42.1905289,  -71.1785736,   112.8, 30.05,    35.8,   2.5,   0.00,   0.00,   -0.01,   2.27,  -1.15,   0.02,   0.00, 170.5, 284.6,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   -59.5,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff, 3704,      ,     16,  92.5,     50
2018-04-06, 13:25:13,  -04:00,       ,   42.1905289,  -71.1785736,   112.8, 30.05,    35.3,   2.5,   0.00,   0.00,   -0.00,   2.27,  -1.15,   0.02,   0.00, 170.5, 284.6,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   -60.0,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff, 3704,      ,     16,  92.5,     50
2018-04-06, 13:25:14,  -04:00,       ,   42.1905289,  -71.1785736,   112.8, 30.05,    35.0,   2.5,   0.00,   0.00,   -0.00,   2.27,  -1.15,   0.02,   0.00, 170.5, 284.6,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   -60.4,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff, 3704,      ,     16,  93.0,     50
2018-04-06, 13:25:15,  -04:00,       ,   42.1905289,  -71.1785736,   112.8, 30.05,    33.3,   2.5,   0.00,   0.00,   -7.96,   2.27,  -1.15,   0.02,   0.00, 170.5, 284.6,  25.2,  24.6,  -6.4,  38.99,  35.08,     0.00,  132.90,   -0.88,  30.11,    0.0,    0.00,  141.51,  141.46,  139.25,  137.58,  133.20,  128.29,  109.11,  109.93,  106.05,  104.88,  104.57,   98.74,  127.05,  105.58,   -62.1,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     16,  92.5,     50
2018-04-06, 13:25:16,  -04:00,       ,   42.1905289,  -71.1785736,   112.8, 30.05,    35.3,   2.5,   0.00,   0.00,  -10.91,   2.27,  -1.15,   0.02,   0.00, 170.5, 284.6,  25.2,  24.6,  -6.4,  38.99,  35.08,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   -60.1,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff, 3704,      ,     16,  91.0,     50
2018-04-06, 13:25:17,  -04:00,       ,   42.1905327,  -71.1785812,   112.8, 30.05,    38.5,   2.5,   0.00,   0.00,  -15.78,   2.26,  -1.15,   0.02,   0.00, 170.5, 284.6,      ,      ,      ,  38.99,  35.08,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   -56.9,   0,  GPS,  170.0, 115.60, 116.50, 126.000, 119.950,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9, 3DDiff, 3704,      ,     16,  90.0,     49
