#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.39,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.39,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.39,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.39,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:19,  -04:00,       ,             ,             ,  1051.7, 30.39,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:20,  -04:00,       ,             ,             ,  1050.7, 30.39,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:21,  -04:00,       ,             ,             ,  1050.7, 30.39,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-04-21, 14:24:21,  -04:00,       ,             ,             ,  1049.7, 30.39,        ,  24.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:22,  -04:00,       ,             ,             ,  1049.7, 30.39,        ,  24.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:23,  -04:00,       ,             ,             ,  1049.7, 30.39,        ,  24.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.1,       ,       ,     0.00,  159.23,   -1.09,  29.36,    0.0,    0.00,  169.20,  170.43,  167.80,  167.48,  159.92,  157.03,  131.27,  128.61,  125.51,  121.41,  121.47,  116.53,  276.03,  129.15,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:24,  -04:00,       ,             ,             ,  1049.7, 30.39,        ,  24.5,   0.00,       ,  -20.60,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.1,  34.11,  34.21,     0.00,  159.24,   -1.07,  29.37,    0.0,    0.00,  169.21,  170.43,  167.80,  167.48,  159.89,  157.03,  131.24,  128.65,  125.51,  121.45,  121.48,  116.53,  266.86,  128.98,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:25,  -04:00,       ,             ,             ,  1048.7, 30.39,        ,  24.5,   0.00,       ,  -26.10,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.2,  34.13,  34.19,     0.00,  159.26,   -1.07,  29.37,    0.0,    0.00,  169.22,  170.45,  167.78,  167.50,  159.94,  157.03,  131.19,  128.65,  125.53,  121.44,  121.48,  116.52,  262.08,  128.76,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:26,  -04:00,       ,             ,             ,  1048.7, 30.39,        ,  24.2,   0.00,       ,  -31.75,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.4,  34.16,  34.18,     0.00,  159.25,   -1.07,  29.37,    0.0,    0.00,  169.21,  170.44,  167.80,  167.48,  159.92,  157.03,  131.15,  128.71,  125.53,  121.46,  121.53,  116.53,  257.52,  128.55,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:27,  -04:00,       ,             ,             ,  1047.7, 30.39,        ,  24.2,   0.00,       ,  -31.86,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.4,  34.18,  34.17,     0.00,  159.24,   -1.07,  29.36,    0.0,    0.00,  169.20,  170.43,  167.80,  167.48,  159.92,  157.05,  131.06,  128.67,  125.58,  121.47,  121.51,  116.55,  257.31,  128.38,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:28,  -04:00,       ,             ,             ,  1047.7, 30.39,        ,  24.2,   0.00,       ,  -17.62,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.4,  34.19,  34.17,     0.00,  159.25,   -1.07,  29.37,    0.0,    0.00,  169.19,  170.43,  167.77,  167.48,  159.91,  157.01,  131.05,  128.70,  125.53,  121.49,  121.54,  116.50,  247.52,  128.15,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:29,  -04:00,       ,             ,             ,  1047.7, 30.39,        ,  24.2,   0.00,       ,  -16.33,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.4,  34.21,  34.17,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:30,  -04:00,       ,             ,             ,  1047.7, 30.39,        ,  24.2,   0.00,       ,  -16.01,       ,       ,       ,       ,      ,      ,      ,      ,      ,  34.21,  34.17,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:31,  -04:00,       ,             ,             ,  1047.7, 30.39,        ,  24.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  34.21,  34.17,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:32,  -04:00,       ,             ,             ,  1046.7, 30.39,        ,  24.2,   0.00,       ,  -20.23,       ,       ,       ,       ,      ,      ,      ,      ,      ,  34.21,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:33,  -04:00,       ,             ,             ,  1046.7, 30.39,        ,  24.2,   0.00,       ,  -16.19,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.7,       ,       ,     0.00,  159.22,   -1.07,  29.37,    0.0,    0.00,  169.16,  170.38,  167.74,  167.44,  159.86,  156.99,  130.99,  128.70,  125.56,  121.45,  121.57,  116.48,  224.76,  127.58,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-04-21, 14:24:34,  -04:00,       ,             ,             ,  1046.7, 30.39,        ,  24.2,   0.00,       ,  -20.30,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -6.8,  34.28,  34.12,     0.00,  159.24,   -1.07,  29.37,    0.0,    0.00,  169.15,  170.37,  167.72,  167.44,  159.84,  156.97,  131.04,  128.74,  125.57,  121.47,  121.57,  116.49,  220.83,  127.54,        ,   0,  GPS,  358.2, 113.90, 116.20, 119.900, 121.250,       ,       ,       ,      ,       ,       ,   -6.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
