#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,    26.6, 30.04,        ,  21.8,   0.00,       ,  -15.94,   2.59,  -0.09,   0.00,  -0.00,  11.6,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,  -13.52,   2.58,  -0.10,   0.00,  -0.00,  11.6,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:09,  -04:00,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,   -7.26,   2.58,  -0.09,   0.00,   0.00,  11.6,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:10,  -04:00,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,   -0.90,   2.58,  -0.09,   0.00,   0.00,  11.6,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:11,  -04:00,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,   -0.03,   2.59,  -0.11,  -0.00,  -0.00,  11.6,      ,  25.2,  24.6,  -3.8,       ,       ,     0.00,  111.57,   -0.80,  30.25,    0.0,    0.00,  116.32,  112.22,  115.41,  106.17,  108.83,  100.56,   96.24,   91.24,   97.01,   88.67,   94.35,   88.67,  134.73,   88.67,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:12,  -04:00,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,   -0.00,   2.58,  -0.12,   0.00,   0.00,  11.6,      ,  25.2,  24.6,  -3.8,  40.73,  38.08,         ,        ,        ,       ,    0.0,    0.00,        ,        ,        ,        ,        ,  100.56,   96.24,   91.26,        ,   88.67,   94.32,   88.67,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:13,  -04:00,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,   -0.00,   2.58,  -0.12,   0.00,   0.00,  11.6,      ,      ,      ,      ,  40.73,  38.08,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:14,  -04:00,       ,             ,             ,    28.6, 30.04,        ,  21.8,   0.00,       ,   -0.00,   2.56,  -0.10,   0.00,   0.00,  11.6,      ,      ,      ,      ,  40.73,  38.08,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:15,  -04:00,       ,             ,             ,    28.6, 30.04,        ,  21.8,   0.00,       ,   -0.00,   2.57,  -0.10,   0.00,   0.00,  11.6,      ,      ,      ,      ,  40.73,  38.08,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-07, 12:54:16,  -04:00,       ,             ,             ,    27.6, 30.04,        ,  21.8,   0.00,       ,   -9.92,   2.57,  -0.11,   0.00,  -0.00,  11.6,      ,  25.2,  24.6,  -3.8,       ,       ,     0.00,  111.53,   -0.82,  30.26,    0.0,    0.00,  116.31,  112.19,  115.41,  106.14,  108.82,  100.56,   96.24,   91.27,   97.04,   88.70,   94.36,   88.70,  135.00,   88.70,        ,   0,  GPS,  248.6, 116.50, 115.60, 120.700, 124.200,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
