#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:39,  -04:00,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:40,  -04:00,       ,             ,             ,  1196.8, 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:41,  -04:00,       ,             ,             ,  1195.8, 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-05-24, 17:53:41,  -04:00,       ,             ,             ,  1195.8, 30.15,        ,  29.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:42,  -04:00,       ,             ,             ,  1195.8, 30.15,        ,  30.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:43,  -04:00,       ,             ,             ,  1194.8, 30.15,        ,  30.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -4.8,       ,       ,     0.00,  184.77,   -1.41,  29.09,    0.0,    0.00,  228.00,  228.84,  222.71,  225.94,  206.96,  208.86,  253.29,  274.27,  217.87,  221.97,  199.98,  194.60,  364.17,  337.40,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:44,  -04:00,       ,             ,             ,  1194.8, 30.15,        ,  30.0,   0.00,       ,  -31.87,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -4.8,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:45,  -04:00,       ,             ,             ,  1194.8, 30.15,        ,  30.0,   0.00,       ,  -30.61,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:46,  -04:00,       ,             ,             ,  1194.8, 30.15,        ,  30.0,   0.00,       ,  -29.31,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:47,  -04:00,       ,             ,             ,  1193.8, 30.15,        ,  30.0,   0.00,       ,  -31.21,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:48,  -04:00,       ,             ,             ,  1193.8, 30.15,        ,  30.0,   0.00,       ,  -19.40,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.2,       ,       ,     0.00,  184.78,   -1.40,  29.10,    0.0,    0.00,  227.89,  228.76,  222.60,  225.82,  206.84,  208.72,  252.65,  274.01,  217.60,  221.65,  199.76,  194.30,  358.49,  335.99,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:49,  -04:00,       ,             ,             ,  1193.8, 30.15,        ,  30.0,   0.00,       ,  -16.13,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.3,  46.00,  46.00,     0.00,  184.77,   -1.41,  29.10,    0.0,    0.00,  227.85,  228.72,  222.58,  225.79,  206.82,  208.69,  252.49,  274.08,  217.57,  221.60,  199.73,  194.31,  357.84,  335.91,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:50,  -04:00,       ,             ,             ,  1192.8, 30.15,        ,  30.0,   0.00,       ,  -28.02,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.4,  46.00,  46.00,     0.00,  184.77,   -1.41,  29.09,    0.0,    0.00,  227.82,  228.70,  222.55,  225.77,  206.78,  208.64,  252.73,  273.97,  217.46,  221.53,  199.73,  194.26,  357.44,  335.54,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:51,  -04:00,       ,             ,             ,  1192.8, 30.15,        ,  30.0,   0.00,       ,  -30.41,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.5,  46.00,  46.00,     0.00,  184.77,   -1.40,  29.10,    0.0,    0.00,  227.79,  228.69,  222.52,  225.76,  206.73,  208.60,  252.64,  273.84,  217.47,  221.47,  199.64,  194.19,  360.14,  335.23,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:52,  -04:00,       ,             ,             ,  1192.8, 30.15,        ,  30.0,   0.00,       ,  -16.97,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.4,  46.00,  46.00,     0.00,  184.77,   -1.40,  29.10,    0.0,    0.00,  227.74,  228.66,  222.48,  225.73,  206.70,  208.55,  252.30,  273.75,  217.36,  221.36,  199.58,  194.09,  357.13,  334.63,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:53,  -04:00,       ,             ,             ,  1192.8, 30.15,        ,  30.0,   0.00,       ,  -16.03,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.5,  46.00,  46.00,     0.00,  184.77,   -1.40,  29.10,    0.0,    0.00,  227.73,  228.63,  222.48,  225.70,  206.67,  208.54,  253.08,  274.63,  218.19,  222.22,  200.42,  194.98,  357.63,  335.38,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:54,  -04:00,       ,             ,             ,  1192.8, 30.15,        ,  30.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.6,  46.00,  46.00,     0.00,  184.78,   -1.41,  29.10,    0.0,    0.00,  227.71,  228.60,  222.45,  225.67,  206.66,  208.49,  253.19,  274.58,  218.12,  222.15,  200.41,  194.94,  357.50,  335.18,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:55,  -04:00,       ,             ,             ,  1192.8, 30.15,        ,  30.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.6,  46.00,  46.00,     0.00,  184.75,   -1.41,  29.10,    0.0,    0.00,  227.67,  228.59,  222.40,  225.64,  206.63,  208.45,  252.07,  273.65,  217.23,  221.19,  199.44,  193.96,  359.41,  333.97,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:56,  -04:00,       ,             ,             ,  1191.8, 30.15,        ,  30.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.6,  46.00,  46.00,     0.00,  184.75,   -1.42,  29.10,    0.0,    0.00,  227.62,  228.55,  222.39,  225.62,  206.58,  208.43,  252.89,  274.47,  218.01,  222.00,  200.27,  194.81,  357.45,  334.71,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:57,  -04:00,       ,             ,             ,  1191.8, 30.15,        ,  30.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.7,  46.00,  46.00,     0.00,  184.76,   -1.42,  29.11,    0.0,    0.00,  227.61,  228.51,  222.36,  225.59,  206.55,  208.42,  252.52,  274.30,  217.94,  221.90,  200.20,  194.73,  356.95,  334.49,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-05-24, 17:53:58,  -04:00,       ,             ,             ,  1191.8, 30.15,        ,  30.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.3,  24.7,  -5.7,  46.00,  46.00,     0.00,  184.75,   -1.42,  29.10,    0.0,    0.00,  227.57,  228.51,  222.34,  225.58,  206.52,  208.36,  252.23,  274.23,  217.87,  221.85,  200.19,  194.70,  356.77,  334.42,        ,   0,  GPS,  320.0, 109.00, 109.00, 119.500, 123.750,       ,       ,       ,      ,       ,       ,   -9.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
