#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-07-07, 09:45:41,  -04:00,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-07-07, 09:45:42,  -04:00,       ,             ,             ,   -97.6, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-07-07, 09:45:43,  -04:00,       ,             ,             ,   -97.6, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-07-07, 09:45:43,  -04:00,       ,             ,             ,   -98.6, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-07-07, 09:45:44,  -04:00,       ,             ,             ,   -98.6, 30.18,        ,  21.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -9.2,       ,       ,     0.00,   71.31,   -0.78,  30.81,    0.0,    0.00,   71.07,   71.62,   71.04,   71.15,   70.85,   70.98,   69.72,   70.23,   69.64,   69.82,   69.69,   70.04,  271.89,   69.64,        ,   0,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-07-07, 09:45:45,  -04:00,       ,             ,             ,   -99.6, 30.18,        ,  21.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  23.9,  -8.9,  19.72,  23.64,     0.00,        ,        ,       ,    0.0,    0.00,        ,        ,        ,        ,   70.87,   70.99,   69.69,   70.21,   69.62,   69.77,   69.62,   70.00,        ,        ,        ,   0,  GPS,  110.0, 116.10, 117.50, 122.725, 122.725,       ,       ,       ,      ,       ,       ,  -11.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
