#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:09,  -04:00,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:10,  -04:00,       ,             ,             ,  2421.4, 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:11,  -04:00,       ,             ,             ,  2420.4, 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-10-11, 19:14:11,  -04:00,       ,             ,             ,  2420.4, 29.79,        ,  24.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:12,  -04:00,       ,             ,             ,  2419.4, 29.79,        ,  24.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:13,  -04:00,       ,             ,             ,  2419.4, 29.79,        ,  24.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -3.2,       ,       ,     0.00,   82.11,   -0.96,  27.77,    0.0,    0.00,   82.62,   82.03,   82.08,   81.12,   80.98,   80.36,   86.09,   86.09,   86.09,   86.09,   86.09,   86.09,  177.35,   86.09,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:14,  -04:00,       ,             ,             ,  2419.4, 29.79,        ,  24.8,   0.00,       ,  -27.20,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -3.4,  46.00,  46.00,     0.00,   82.11,   -0.97,  27.77,    0.0,    0.00,   82.64,   82.05,   82.08,   81.12,   80.99,   80.37,   86.05,   86.05,   86.05,   86.05,   86.05,   86.05,  167.76,   86.05,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:15,  -04:00,       ,             ,             ,  2419.4, 29.79,        ,  24.8,   0.00,       ,  -16.59,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -3.5,  46.00,  46.00,     0.00,   82.14,   -0.97,  27.77,    0.0,    0.00,   82.64,   82.06,   82.08,   81.13,   81.01,   80.37,   86.09,   86.09,   86.09,   86.09,   86.09,   86.09,  161.75,   86.09,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-11, 19:14:16,  -04:00,       ,             ,             ,  2418.4, 29.79,        ,  24.8,   0.00,       ,  -25.07,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -3.7,  46.00,  46.00,     0.00,   82.14,   -0.97,  27.76,    0.0,    0.00,   82.64,   82.05,   82.08,   81.15,   81.01,   80.39,   86.05,   86.05,   86.05,   86.05,   86.05,   86.05,  157.55,   86.05,        ,   0,  GPS,  231.0, 116.70, 116.70, 125.100, 125.100,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
