#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-64", unit_software_version="20.80", system_software_part_number="006-B2647-M4", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:33:58,  -05:00,       ,             ,             ,        , 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:33:59,  -05:00,       ,             ,             ,   528.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-11-19, 14:34:00,  -05:00,       ,             ,             ,   528.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-11-19, 14:34:01,  -05:00,       ,             ,             ,   527.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-11-19, 14:34:02,  -05:00,       ,             ,             ,   527.5, 30.13,        ,   8.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -5.4,       ,       ,     0.00,  100.35,   -0.93,  29.99,    0.0,    0.00,  101.64,  102.39,  100.94,  100.56,  100.73,   99.25,   81.59,   81.58,   82.70,   82.79,   82.79,   81.33,  119.82,   65.44,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-11-19, 14:34:03,  -05:00,       ,             ,             ,   526.5, 30.13,        ,   8.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -5.4,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:04,  -05:00,       ,             ,             ,   526.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:05,  -05:00,       ,             ,             ,   526.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:06,  -05:00,       ,             ,             ,   525.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:07,  -05:00,       ,             ,             ,   525.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -5.8,       ,       ,     0.00,  100.36,   -0.91,  30.01,    0.0,    0.00,  101.63,  102.38,  100.94,  100.58,  100.70,   99.27,   81.57,   81.56,   82.78,   82.75,   82.76,   81.27,  102.96,   65.39,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:08,  -05:00,       ,             ,             ,   525.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.0,  24.3,  -5.8,  46.00,  46.00,     0.00,  100.35,   -0.92,  30.01,    0.0,    0.00,  101.64,  102.38,  100.97,  100.59,  100.73,   99.25,   81.54,   81.47,   82.66,   82.71,   82.71,   81.21,   99.38,   65.35,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:09,  -05:00,       ,             ,             ,   524.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -5.9,  46.00,  46.00,     0.00,  100.36,   -0.92,  30.00,    0.0,    0.00,  101.64,  102.37,  100.95,  100.58,  100.71,   99.25,   81.50,   81.52,   82.68,   82.71,   82.73,   81.23,   96.97,   65.35,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:10,  -05:00,       ,             ,             ,   524.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.0,  46.00,  46.00,     0.00,  100.35,   -0.93,  30.00,    0.0,    0.00,  101.63,  102.40,  100.97,  100.58,  100.71,   99.25,   81.53,   81.49,   82.63,   82.68,   82.69,   81.20,   96.93,   65.34,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:11,  -05:00,       ,             ,             ,   524.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -6.0,  46.00,  46.00,     0.00,  100.35,   -0.92,  30.00,    0.0,    0.00,  101.64,  102.36,  100.94,  100.58,  100.71,   99.23,   81.51,   81.46,   82.68,   82.68,   82.69,   81.18,   94.21,   65.28,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:12,  -05:00,       ,             ,             ,   523.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.1,  46.00,  46.00,     0.00,  100.35,   -0.93,  30.00,    0.0,    0.00,  101.62,  102.39,  100.96,  100.58,  100.70,   99.24,   81.51,   81.49,   82.65,   82.69,   82.72,   81.22,   91.36,   65.31,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:13,  -05:00,       ,             ,             ,   523.5, 30.13,        ,   8.5,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.2,  46.00,  46.00,     0.00,  100.36,   -0.93,  30.00,    0.0,    0.00,  101.63,  102.37,  100.95,  100.56,  100.71,   99.25,   81.50,   81.47,   82.65,   82.68,   82.70,   81.20,   89.61,   65.33,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:14,  -05:00,       ,             ,             ,   523.5, 30.13,        ,   8.5,   0.00,       ,  -30.56,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.3,  46.00,  46.00,     0.00,  100.35,   -0.94,  30.00,    0.0,    0.00,  101.61,  102.37,  100.94,  100.56,  100.70,   99.24,   81.49,   81.48,   82.62,   82.65,   82.73,   81.19,   89.61,   65.31,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:15,  -05:00,       ,             ,             ,   523.5, 30.13,        ,   8.5,   0.00,       ,  -19.38,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.2,  46.00,  46.00,     0.00,  100.34,   -0.92,  30.01,    0.0,    0.00,  101.62,  102.37,  100.94,  100.58,  100.70,   99.24,   81.53,   81.43,   82.67,   82.65,   82.66,   81.16,   86.62,   65.25,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-19, 14:34:16,  -05:00,       ,             ,             ,   522.5, 30.13,        ,   8.5,   0.00,       ,  -16.17,       ,       ,       ,       ,      ,      ,  24.9,  24.2,  -6.2,  46.00,  46.00,     0.00,  100.35,   -0.91,  30.01,    0.0,    0.00,  101.61,  102.35,  100.91,  100.55,  100.70,   99.24,   81.52,   81.45,   82.67,   82.67,   82.69,   81.18,   84.37,   65.30,        ,   0,  GPS,  225.4, 108.80, 110.40, 123.075, 123.075,       ,       ,       ,      ,       ,       ,  -14.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
