#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-64", unit_software_version="20.80", system_software_part_number="006-B2647-M4", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20181129_100020", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2018-11-29, 10:00:20,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:21,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:22,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -15.52,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -7.0,       ,       ,     0.00,  142.73,   -1.05,  30.28,    0.0,    0.00,  195.01,  190.68,  192.82,  191.01,  184.92,  175.63,  174.98,  180.23,  158.14,  160.65,  149.84,  141.54,  229.65,  219.93,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:23,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -12.86,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -7.0,  46.00,  46.00,     0.00,        ,        ,       ,    0.0,    0.00,        ,        ,        ,        ,  184.92,  175.63,  174.97,  180.23,  158.10,  160.63,  149.85,  141.53,        ,        ,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:24,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -15.08,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:25,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -15.96,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:26,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -15.41,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:27,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -15.98,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -6.7,       ,       ,     0.00,  142.77,   -1.05,  30.28,    0.0,    0.00,  194.92,  190.62,  192.76,  190.92,  184.84,  175.57,  174.39,  179.95,  157.98,  160.43,  149.70,  141.46,  229.18,  219.68,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:28,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -6.6,  46.00,  46.00,     0.00,  142.76,   -1.04,  30.28,    0.0,    0.00,  194.89,  190.57,  192.73,  190.92,  184.81,  175.57,  174.25,  179.90,  157.92,  160.39,  149.64,  141.38,  229.09,  219.70,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-11-29, 10:00:29,  -05:00,       ,             ,             ,   159.3, 30.12,        ,  10.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.4,  -6.5,  46.00,  46.00,     0.00,  142.77,   -1.05,  30.27,    0.0,    0.00,  194.87,  190.56,  192.70,  190.89,  184.82,  175.54,  174.28,  179.83,  157.93,  160.38,  149.69,  141.40,  229.01,  219.72,        ,   0,  GPS,  301.0, 111.40, 115.10, 123.050, 123.925,       ,       ,       ,      ,       ,       ,  -11.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
