Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Wed, May 11, 2016",,,18:15,18:15,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, May 11, 2016",KBED,KBED,17:56,17:59,0.04 hrs,0.00 hrs,0.00 nm,0.14 gal,3.30 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, May 11, 2016",KHVN,KBED,16:46,17:54,1.09 hrs,0.83 hrs,131.09 nm,13.82 gal,12.71 gal/hr,0.11 gal/nm,7014 msl,151 kts
"Wed, May 11, 2016",KMTN,KHVN,14:35,16:24,1.76 hrs,1.43 hrs,236.94 nm,26.41 gal,15.05 gal/hr,0.11 gal/nm,7015 msl,160 kts
"Wed, May 11, 2016",,,14:25,14:26,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, May 11, 2016",N67,KMTN,08:22,09:21,0.94 hrs,0.69 hrs,106.63 nm,13.60 gal,14.52 gal/hr,0.13 gal/nm,8013 msl,146 kts
"Wed, May 11, 2016",,,08:11,08:12,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, May 10, 2016",KHVN,N67,09:42,10:58,1.22 hrs,0.97 hrs,150.12 nm,18.48 gal,15.13 gal/hr,0.12 gal/nm,6017 msl,151 kts
"Tue, May 10, 2016",KPVD,KHVN,08:48,09:32,0.71 hrs,0.53 hrs,77.43 nm,10.65 gal,14.97 gal/hr,0.14 gal/nm,6018 msl,141 kts
"Tue, May 10, 2016",,,08:36,08:37,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, May 9, 2016",,,17:36,17:36,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, May 6, 2016",KPSM,KPVD,19:32,20:36,1.03 hrs,0.79 hrs,116.00 nm,15.09 gal,14.70 gal/hr,0.13 gal/nm,6015 msl,141 kts
"Fri, May 6, 2016",,,19:26,19:26,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, May 6, 2016",KPVD,KPSM,17:32,18:22,0.8 hrs,0.56 hrs,92.57 nm,11.86 gal,14.77 gal/hr,0.13 gal/nm,7013 msl,160 kts
"Fri, May 6, 2016",,,17:28,17:28,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, May 6, 2016",KBFD,KPVD,13:29,16:34,2.95 hrs,2.71 hrs,396.10 nm,46.10 gal,15.64 gal/hr,0.12 gal/nm,7049 msl,140 kts
"Fri, May 6, 2016",KFQD,KBFD,09:15,12:30,3.13 hrs,2.87 hrs,418.79 nm,47.79 gal,15.29 gal/hr,0.11 gal/nm,9011 msl,140 kts
"Fri, May 6, 2016",,,08:52,08:53,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, May 5, 2016",KAPF,KFQD,08:46,12:54,3.96 hrs,3.60 hrs,574.41 nm,60.24 gal,15.20 gal/hr,0.10 gal/nm,11008 msl,153 kts
"Thu, May 5, 2016",,,08:34,08:34,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Apr 30, 2016",KJZI,KAPF,14:24,17:12,2.7 hrs,2.43 hrs,437.66 nm,46.22 gal,17.12 gal/hr,0.11 gal/nm,14025 msl,173 kts
"Sat, Apr 30, 2016",,,14:13,14:14,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Apr 30, 2016",KPVD,KJZI,07:05,12:36,4.33 hrs,4.12 hrs,716.22 nm,82.78 gal,19.12 gal/hr,0.12 gal/nm,8521 msl,166 kts
"Sat, Apr 30, 2016",,,06:57,06:58,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Apr 29, 2016",,,17:32,17:32,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Apr 29, 2016",,,17:22,17:22,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Apr 29, 2016",KBED,KPVD,16:41,17:41,0.64 hrs,0.32 hrs,46.30 nm,6.61 gal,10.38 gal/hr,0.14 gal/nm,3007 msl,135 kts
"Fri, Apr 29, 2016",KBED,KBED,12:51,13:03,0.19 hrs,0.00 hrs,0.00 nm,1.07 gal,5.54 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Apr 28, 2016",,,12:55,12:56,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Apr 27, 2016",,,12:24,12:24,0 hrs,0.00 hrs,0.00 nm,0.00 gal,1.48 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Apr 27, 2016",,,10:42,10:43,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Apr 27, 2016",,,08:59,09:01,0.03 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Apr 26, 2016",,,14:44,14:45,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Apr 26, 2016",,,13:10,13:13,0.05 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Apr 26, 2016",,,12:52,12:54,0.04 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Apr 26, 2016",,,12:22,12:22,0.01 hrs,0.00 hrs,0.00 nm,0.02 gal,2.13 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Apr 26, 2016",KBED,KBED,08:47,09:04,0.28 hrs,0.00 hrs,0.00 nm,2.16 gal,7.67 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Apr 25, 2016",KGWW,KBED,12:03,15:22,3.17 hrs,2.95 hrs,547.14 nm,55.97 gal,17.66 gal/hr,0.10 gal/nm,7010 msl,177 kts
"Mon, Apr 25, 2016",KLEE,KGWW,08:53,11:48,2.82 hrs,2.56 hrs,462.11 nm,48.34 gal,17.15 gal/hr,0.10 gal/nm,9029 msl,173 kts
