Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Sat, Jun 17, 2017",KPVD,KBED,12:55,14:24,1.4 hrs,1.10 hrs,165.13 nm,17.07 gal,12.21 gal/hr,0.10 gal/nm,3014 msl,142 kts
"Sat, Jun 17, 2017",,,12:42,12:42,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Jun 16, 2017",KBAF,KPVD,12:30,13:16,0.73 hrs,0.52 hrs,75.11 nm,9.14 gal,12.52 gal/hr,0.12 gal/nm,5043 msl,138 kts
"Fri, Jun 16, 2017",KAGC,KBAF,09:56,12:14,2.2 hrs,1.97 hrs,353.81 nm,30.71 gal,13.97 gal/hr,0.09 gal/nm,9053 msl,173 kts
"Fri, Jun 16, 2017",,,09:47,09:47,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Jun 11, 2017",KIPT,KAGC,15:09,16:28,1.27 hrs,1.00 hrs,147.57 nm,16.93 gal,13.35 gal/hr,0.11 gal/nm,6133 msl,142 kts
"Sun, Jun 11, 2017",,,15:01,15:01,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Jun 11, 2017",KAGC,KIPT,06:25,07:27,0.99 hrs,0.80 hrs,153.72 nm,12.99 gal,13.16 gal/hr,0.08 gal/nm,5015 msl,182 kts
"Sun, Jun 11, 2017",,,06:18,06:19,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Jun 10, 2017",KIPT,KAGC,18:45,20:04,1.26 hrs,1.02 hrs,147.84 nm,16.83 gal,13.34 gal/hr,0.11 gal/nm,6138 msl,140 kts
