#airframe_info," log_version=""1.00"""," airframe_name=""Diamond DA 40"""," unit_software_part_number=""006-B0319-7G"""," unit_software_version=""9.15"""," system_software_part_number=""006-B0321-22"""," system_id=""20527E45B""", mode=NORMAL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
12/31/14, 21:32:16,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.69,0,0,109.51,0,31.25,0,101.86,102.43,103.68,105.55,85.11,82.8,88.31,83.25,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,0,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:16,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.69,0,0,109.51,0,31.25,0,101.86,102.43,103.68,105.55,85.11,82.8,88.31,83.25,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,0,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:17,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.69,0,0,109.51,0,31.26,0,101.86,102.43,103.67,105.55,85.11,82.77,88.31,83.22,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:18,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.68,0,0,109.51,0,31.26,0,101.85,102.43,103.66,105.55,85.09,82.75,88.31,83.22,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:19,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.5,15.56,15.68,0,0,109.52,0,31.26,0,101.83,102.41,103.64,105.52,85.07,82.71,88.28,83.17,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:20,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.4,15.56,15.68,0,0,109.52,0,31.26,0,101.83,102.4,103.62,105.52,85.07,82.69,88.28,83.16,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:21,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.67,0,0,109.52,0,31.26,0,101.82,102.4,103.62,105.52,85.04,82.69,88.25,83.14,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:22,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.67,0,0,109.52,0,31.26,0,101.78,102.38,103.6,105.49,85.01,82.67,88.21,83.11,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:23,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.3,15.56,15.67,0,0,109.52,0,31.27,0,101.8,102.39,103.6,105.52,85.01,82.67,88.23,83.13,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
12/31/14, 21:32:24,  +00:00,       ,             ,             ,        ,30.37,        ,      ,0,       ,        ,       ,       ,       ,       ,      ,      ,24.4,15.56,15.67,0,0,109.52,0,31.27,0,101.77,102.37,103.59,105.5,84.98,82.63,88.2,83.1,        ,    ,  GPS,8.1,109.9,109.9,119.1,121.9,       ,       ,       ,      ,       ,       ,-6.8,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
