#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-01-01, 18:35:09,  +00:00,       ,   39.0051727,  -74.9135666,    40.1, 30.11,    21.8,   7.2,   0.00,   0.00,   15.35,       ,       ,       ,       ,      ,  12.1,  24.4,  15.91,  16.08,     0.00,    37.90,  138.35,    0.00,  31.17,    0.0,  213.04,  193.14,  206.72,  211.41,  149.38,  134.74,  160.59,  146.48,   -97.5,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   4.7,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:09,  +00:00,       ,   39.0051727,  -74.9135666,    40.1, 30.11,    21.8,   7.2,   0.00,   0.00,   15.35,       ,       ,       ,       ,      ,  12.1,  24.4,  15.91,  16.08,     0.00,    37.90,  138.35,    0.00,  31.17,    0.0,  213.04,  193.14,  206.72,  211.41,  149.38,  134.74,  160.59,  146.48,   -97.5,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   4.7,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:11,  +00:00,       ,   39.0051727,  -74.9135666,    40.1, 30.11,    22.2,   7.2,   0.00,   0.00,    0.13,       ,       ,       ,       ,      ,  12.1,  24.2,  15.91,  16.08,     0.00,    38.00,  138.35,    0.00,  31.17,    0.0,  212.97,  193.09,  206.64,  211.35,  149.28,  134.60,  160.44,  146.33,   -97.1,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   3.1,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:12,  +00:00,       ,   39.0051727,  -74.9135666,    40.1, 30.11,    22.9,   7.2,   0.00,   0.00,   11.40,       ,       ,       ,       ,      ,  12.1,  24.2,  15.91,  16.08,     2.55,    27.12,  138.35,    0.00,  31.17,    0.0,  212.93,  193.07,  206.59,  211.30,  149.20,  134.54,  160.39,  146.23,   -96.4,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   6.0,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:13,  +00:00,       ,   39.0051727,  -74.9135666,    40.1, 30.11,    23.6,   7.2,   0.00,   0.00,   15.82,       ,       ,       ,       ,      ,  12.1,  24.2,  15.91,  16.08,     3.63,    17.64,  138.34,    0.00,  31.17,    0.0,  212.90,  193.04,  206.55,  211.26,  149.14,  134.45,  160.30,  146.15,   -95.7,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   6.5,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:14,  +00:00,       ,   39.0051727,  -74.9135666,    40.1, 30.11,    24.0,   7.2,   0.00,   0.00,    2.95,       ,       ,       ,       ,      ,  12.1,  24.2,  15.91,  16.08,     3.69,    17.41,  138.33,    0.00,  31.17,    0.0,  212.86,  193.03,  206.51,  211.23,  149.07,  134.38,  160.22,  146.09,   -95.3,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   7.4,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:15,  +00:00,       ,   39.0051727,  -74.9135666,    41.1, 30.11,    24.1,   7.2,   0.00,   0.00,    1.44,       ,       ,       ,       ,      ,  12.1,  24.1,  15.92,  16.08,     4.56,    17.32,  138.33,    0.00,  31.17,    0.0,  212.83,  192.99,  206.46,  211.21,  148.99,  134.30,  160.13,  145.98,   -95.3,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   4.8,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:16,  +00:00,       ,   39.0051727,  -74.9135666,    41.1, 30.11,    23.9,   7.2,   0.00,   0.00,   14.52,       ,       ,       ,       ,      ,  12.1,  24.1,  15.92,  16.08,     4.65,    17.66,  138.33,    0.00,  31.17,    0.0,  212.79,  192.96,  206.42,  211.17,  148.93,  134.23,  160.05,  145.89,   -95.4,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   4.2,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:17,  +00:00,       ,   39.0051727,  -74.9135666,    41.1, 30.11,    23.9,   7.2,   0.00,   0.00,   15.95,       ,       ,       ,       ,      ,  12.1,  24.1,  15.92,  16.08,     1.46,    17.96,  138.32,    0.00,  31.17,    0.0,  212.76,  192.93,  206.37,  211.12,  148.84,  134.15,  159.99,  145.81,   -95.5,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   5.1,     3D, 3704,      ,       ,      ,       
2015-01-01, 18:35:18,  +00:00,       ,   39.0051689,  -74.9135666,    41.1, 30.11,    23.8,   7.2,   0.00,   0.00,    6.95,       ,       ,       ,       ,      ,  12.1,  24.2,  15.92,  16.08,     0.60,    17.97,  138.31,    0.00,  31.17,    0.0,  212.71,  192.91,  206.34,  211.09,  148.78,  134.08,  159.91,  145.74,   -95.5,   0,  GPS,   33.4, 110.50, 110.50, 122.700, 122.700,       ,       ,       ,      ,       ,       ,  -12.1,       ,      ,       ,      ,      ,   7.0,     3D, 3704,      ,       ,      ,       
