#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-06, 17:18:43,  +00:00,       ,             ,             ,        , 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.2,  15.87,  15.94,     0.00,     0.00,   45.69,    0.00,  31.59,    0.0,   59.79,   58.77,   58.06,   56.15,   51.14,   53.01,   52.27,   51.59,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:43,  +00:00,       ,             ,             ,        , 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.2,  15.87,  15.94,     0.00,     0.00,   45.69,    0.00,  31.59,    0.0,   59.79,   58.77,   58.06,   56.15,   51.14,   53.01,   52.27,   51.59,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:45,  +00:00,       ,             ,             ,   257.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.3,  15.87,  15.94,     0.00,     0.00,   45.70,    0.00,  31.59,    0.0,   59.78,   58.76,   58.05,   56.13,   51.13,   52.99,   52.27,   51.57,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:46,  +00:00,       ,             ,             ,   258.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.2,  15.87,  15.94,     0.00,     0.00,   45.70,    0.00,  31.59,    0.0,   59.75,   58.73,   58.03,   56.11,   51.06,   52.95,   52.23,   51.54,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:47,  +00:00,       ,             ,             ,   258.6, 30.71,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  23.2,  15.87,  15.94,     0.00,     0.00,   45.70,    0.00,  31.59,    0.0,   59.76,   58.73,   58.03,   56.12,   51.05,   52.95,   52.21,   51.55,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:48,  +00:00,       ,             ,             ,   258.6, 30.71,        ,   3.5,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  23.2,  15.87,  15.94,     0.00,     0.00,   45.71,    0.00,  31.59,    0.0,   59.75,   58.71,   58.01,   56.11,   51.04,   52.93,   52.20,   51.51,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:49,  +00:00,       ,             ,             ,   258.6, 30.71,        ,   3.5,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  23.3,  15.87,  15.94,     0.00,     0.00,   45.71,    0.00,  31.59,    0.0,   59.73,   58.70,   57.99,   56.10,   50.99,   52.91,   52.16,   51.50,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:50,  +00:00,       ,             ,             ,   258.6, 30.71,        ,   3.5,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  23.4,  15.87,  15.94,     0.00,     0.00,   45.71,    0.00,  31.59,    0.0,   59.72,   58.68,   57.99,   56.09,   50.97,   52.92,   52.16,   51.48,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:51,  +00:00,       ,             ,             ,   259.6, 30.71,        ,   3.5,   0.00,       ,   15.68,       ,       ,       ,       ,      ,      ,  23.3,  15.87,  15.94,     0.00,     0.00,   45.72,    0.00,  31.59,    0.0,   59.71,   58.68,   57.98,   56.08,   50.95,   52.89,   52.16,   51.48,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 17:18:52,  +00:00,       ,             ,             ,   259.6, 30.71,        ,   3.5,   0.00,       ,   15.99,       ,       ,       ,       ,      ,      ,  23.2,  15.87,  15.94,     0.00,     0.00,   45.72,    0.00,  31.59,    0.0,   59.68,   58.65,   57.96,   56.05,   50.92,   52.86,   52.14,   51.44,        ,   0,  GPS,   44.8, 115.60, 110.50, 120.700, 121.900,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
