#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-06, 20:07:25,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  15.96,  16.08,     0.00,     1.20,  110.79,    0.00,  31.44,    0.0,  115.36,  112.32,  118.30,  117.43,   77.38,   72.81,   80.59,   72.43,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:26,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.1,  15.96,  16.09,     0.00,     1.20,  110.79,    0.00,  31.44,    0.0,  115.42,  112.33,  118.33,  117.43,   77.41,   72.84,   80.62,   72.47,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:27,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  15.96,  16.09,     0.00,     1.20,  110.80,    0.00,  31.45,    0.0,  115.37,  112.30,  118.28,  117.41,   77.35,   72.76,   80.58,   72.41,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:28,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  15.96,  16.09,     0.00,     1.19,  110.80,    0.00,  31.45,    0.0,  115.33,  112.28,  118.24,  117.38,   77.34,   72.73,   80.54,   72.37,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:29,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  15.96,  16.08,     0.00,     1.20,  110.81,    0.00,  31.45,    0.0,  115.28,  112.22,  118.20,  117.34,   77.30,   72.71,   80.53,   72.34,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:30,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  15.96,  16.08,     0.00,     1.19,  110.81,    0.00,  31.45,    0.0,  115.24,  112.19,  118.18,  117.31,   77.28,   72.70,   80.49,   72.32,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:31,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  15.96,  16.08,     0.00,     1.19,  110.81,    0.00,  31.45,    0.0,  115.20,  112.17,  118.15,  117.29,   77.27,   72.69,   80.48,   72.32,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:32,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  15.96,  16.08,     0.00,     1.19,  110.80,    0.00,  31.45,    0.0,  115.18,  112.14,  118.13,  117.27,   77.27,   72.64,   80.47,   72.28,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:33,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  15.96,  16.08,     0.00,     1.19,  110.80,    0.00,  31.45,    0.0,  115.13,  112.09,  118.08,  117.24,   77.24,   72.62,   80.41,   72.23,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-06, 20:07:34,  +00:00,       ,             ,             ,        , 30.41,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  15.96,  16.08,     0.00,     1.19,  110.80,    0.00,  31.45,    0.0,  115.10,  112.06,  118.05,  117.20,   77.19,   72.59,   80.41,   72.22,        ,    ,  GPS,   39.4, 115.60, 110.50, 128.400, 120.950,       ,       ,       ,      ,       ,       ,  -15.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
