#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-21, 14:25:12,  +00:00,       ,             ,             ,   -27.5, 30.08,        ,  29.2,   0.00,       ,  -32.03,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.5,  42.73,  41.61,     0.00,   74.47,    0.75,  29.79,    0.0,   75.67,   74.76,   75.29,   74.29,   75.40,   74.70,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:12,  +00:00,       ,             ,             ,   -27.5, 30.08,        ,  29.2,   0.00,       ,  -32.03,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.5,  42.73,  41.61,     0.00,   74.47,    0.75,  29.79,    0.0,   75.67,   74.76,   75.29,   74.29,   75.40,   74.70,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:13,  +00:00,       ,             ,             ,   -28.5, 30.08,        ,  29.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.6,  42.73,  41.62,     0.00,   74.46,    0.76,  29.79,    0.0,   75.68,   74.76,   75.28,   74.30,   75.42,   74.72,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:14,  +00:00,       ,             ,             ,   -28.5, 30.08,        ,  29.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.6,  42.74,  41.62,     0.00,   74.47,    0.76,  29.79,    0.0,   75.69,   74.76,   75.31,   74.32,   75.41,   74.73,   81.29,   81.39,   81.39,   81.39,   81.29,   81.39,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:15,  +00:00,       ,             ,             ,   -29.5, 30.08,        ,  29.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.6,  42.75,  41.62,     0.00,   74.48,    0.76,  29.79,    0.0,   75.69,   74.76,   75.31,   74.30,   75.43,   74.73,   81.43,   81.43,   81.33,   81.33,   81.43,   81.43,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:16,  +00:00,       ,             ,             ,   -29.5, 30.08,        ,  29.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.8,  42.76,  41.61,     0.00,   74.49,    0.77,  29.79,    0.0,   75.69,   74.78,   75.32,   74.32,   75.42,   74.73,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:17,  +00:00,       ,             ,             ,   -30.5, 30.08,        ,  29.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -7.9,  42.77,  41.62,     0.00,   74.48,    0.75,  29.78,    0.0,   75.69,   74.78,   75.31,   74.32,   75.45,   74.73,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:18,  +00:00,       ,             ,             ,   -30.5, 30.08,        ,  29.2,   0.00,       ,  -22.95,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.7,  42.77,  41.62,     0.00,   74.49,    0.75,  29.79,    0.0,   75.71,   74.76,   75.34,   74.32,   75.43,   74.73,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:19,  +00:00,       ,             ,             ,   -30.5, 30.08,        ,  29.2,   0.00,       ,  -25.35,       ,       ,       ,       ,      ,      ,  24.4,  23.7,  -7.8,  42.77,  41.62,     0.00,   74.49,    0.75,  29.79,    0.0,   75.70,   74.78,   75.34,   74.34,   75.45,   74.75,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:20,  +00:00,       ,             ,             ,   -31.5, 30.08,        ,  29.2,   0.00,       ,  -31.71,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -7.9,  42.77,  41.62,     0.00,   74.50,    0.76,  29.79,    0.0,   75.72,   74.79,   75.33,   74.32,   75.43,   74.73,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 14:25:21,  +00:00,       ,             ,             ,   -31.5, 30.08,        ,  29.2,   0.00,       ,  -18.19,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -8.0,  42.78,  41.62,     0.00,   74.50,    0.75,  29.78,    0.0,   75.72,   74.79,   75.34,   74.34,   75.45,   74.75,   81.29,   81.29,   81.29,   81.29,   81.29,   81.29,        ,   0,  GPS,  230.0, 113.70, 111.15, 128.500, 121.600,       ,       ,       ,      ,       ,       ,   -5.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
