#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-21, 15:47:41,  +00:00,       ,             ,             ,    29.5, 30.13,        ,  31.5,   0.00,       ,  -23.08,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.13,  34.01,     0.00,  175.50,   -2.72,  29.66,    0.0,  216.97,  225.20,  226.00,  224.73,  219.08,  216.60,  190.15,  194.12,  201.70,  196.41,  203.00,  187.71,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:41,  +00:00,       ,             ,             ,    29.5, 30.13,        ,  31.5,   0.00,       ,  -23.08,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.13,  34.01,     0.00,  175.50,   -2.72,  29.66,    0.0,  216.97,  225.20,  226.00,  224.73,  219.08,  216.60,  190.15,  194.12,  201.70,  196.41,  203.00,  187.71,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:42,  +00:00,       ,             ,             ,    29.5, 30.13,        ,  31.5,   0.00,       ,  -25.00,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.16,  34.00,     0.00,  175.49,   -2.71,  29.66,    0.0,  216.94,  225.17,  225.98,  224.72,  219.03,  216.58,  190.11,  194.08,  201.68,  196.37,  202.96,  187.68,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:43,  +00:00,       ,             ,             ,    28.5, 30.13,        ,  31.5,   0.00,       ,  -16.47,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.18,  33.99,     0.00,  175.47,   -2.71,  29.66,    0.0,  216.91,  225.16,  225.95,  224.69,  219.02,  216.55,  190.05,  194.01,  201.61,  196.29,  202.89,  187.61,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:44,  +00:00,       ,             ,             ,    28.5, 30.13,        ,  31.5,   0.00,       ,  -26.54,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.20,  33.99,     0.00,  175.49,   -2.70,  29.66,    0.0,  216.88,  225.11,  225.91,  224.66,  218.96,  216.52,  190.01,  193.97,  201.54,  196.27,  202.82,  187.54,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:45,  +00:00,       ,             ,             ,    27.5, 30.13,        ,  31.5,   0.00,       ,  -31.05,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.21,  33.98,     0.00,  175.49,   -2.69,  29.67,    0.0,  216.85,  225.11,  225.89,  224.63,  218.93,  216.49,  189.93,  193.93,  201.48,  196.19,  202.75,  187.52,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:46,  +00:00,       ,             ,             ,    27.5, 30.13,        ,  31.5,   0.00,       ,  -18.92,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.23,  33.98,     0.00,  175.48,   -2.70,  29.67,    0.0,  216.82,  225.05,  225.86,  224.62,  218.90,  216.46,  189.89,  193.86,  201.43,  196.12,  202.72,  187.43,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:47,  +00:00,       ,             ,             ,    27.5, 30.13,        ,  31.5,   0.00,       ,  -16.10,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.25,  33.98,     0.00,  175.47,   -2.71,  29.67,    0.0,  216.79,  225.05,  225.84,  224.60,  218.87,  216.43,  189.83,  193.81,  201.36,  196.06,  202.64,  187.39,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:48,  +00:00,       ,             ,             ,    27.5, 30.13,        ,  31.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.27,  33.98,     0.00,  175.48,   -2.72,  29.67,    0.0,  216.76,  225.00,  225.79,  224.57,  218.84,  216.40,  189.79,  193.75,  201.32,  196.01,  202.60,  187.32,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-21, 15:47:49,  +00:00,       ,             ,             ,    26.5, 30.13,        ,  31.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.9,  24.3,  -9.9,  39.29,  33.98,     0.00,  175.47,   -2.73,  29.67,    0.0,  216.73,  224.96,  225.77,  224.54,  218.81,  216.40,  189.72,  193.69,  201.28,  195.97,  202.53,  187.28,        ,   0,  GPS,  331.3, 113.70, 111.15, 120.100, 121.900,       ,       ,       ,      ,       ,       ,   -5.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
