#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-24, 11:24:31,  +00:00,       ,             ,             ,   914.6, 30.04,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -6.0,  45.76,  45.50,     0.00,   60.73,    1.62,  28.84,    0.0,   59.67,   60.37,   59.82,   59.96,   58.60,   59.21,   53.96,   54.44,   54.07,   54.13,   53.38,   53.24,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:32,  +00:00,       ,             ,             ,   914.6, 30.04,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -6.0,  45.76,  45.51,     0.00,   60.74,    1.61,  28.84,    0.0,   59.69,   60.37,   59.84,   59.96,   58.60,   59.24,   53.94,   54.39,   54.09,   54.10,   53.40,   53.24,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:32,  +00:00,       ,             ,             ,   913.6, 30.04,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -6.2,  45.75,  45.51,     0.00,   60.74,    1.61,  28.84,    0.0,   59.69,   60.37,   59.84,   59.96,   58.60,   59.24,   53.94,   54.39,   54.09,   54.10,   53.40,   53.24,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:33,  +00:00,       ,             ,             ,   912.6, 30.04,        ,      ,   0.00,       ,  -48.00,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -6.1,  45.75,  45.51,     0.00,   60.74,    1.61,  28.85,    0.0,   59.68,   60.37,   59.82,   59.97,   58.60,   59.24,   53.95,   54.43,   54.07,   54.14,   53.44,   53.26,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:34,  +00:00,       ,             ,             ,   912.6, 30.04,        ,  10.2,   0.00,       ,  -35.98,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -6.2,  45.74,  45.52,     0.00,   60.74,    1.62,  28.85,    0.0,   59.67,   60.37,   59.82,   59.94,   58.62,   59.24,   53.98,   54.40,   54.07,   54.15,   53.42,   53.26,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:35,  +00:00,       ,             ,             ,   911.6, 30.04,        ,  10.2,   0.00,       ,  -32.15,       ,       ,       ,       ,      ,      ,  24.3,  23.6,  -6.3,  45.74,  45.53,     0.00,   60.74,    1.61,  28.85,    0.0,   59.68,   60.37,   59.82,   59.94,   58.60,   59.24,   54.01,   54.46,   54.12,   54.14,   53.44,   53.24,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:36,  +00:00,       ,             ,             ,   911.6, 30.04,        ,  10.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.3,  23.6,  -6.4,  45.73,  45.53,     0.00,   60.73,    1.62,  28.85,    0.0,   59.69,   60.37,   59.84,   59.95,   58.60,   59.24,   53.95,   54.36,   54.07,   54.11,   53.45,   53.20,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:37,  +00:00,       ,             ,             ,   910.6, 30.04,        ,  10.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.4,  23.6,  -6.3,  45.73,  45.54,     0.00,   60.74,    1.61,  28.85,    0.0,   59.67,   60.39,   59.82,   59.96,   58.60,   59.23,   53.96,   54.44,   54.10,   54.14,   53.45,   53.26,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:38,  +00:00,       ,             ,             ,   910.6, 30.04,        ,  10.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.3,  23.6,  -6.4,  45.72,  45.54,     0.00,   60.74,    1.61,  28.85,    0.0,   59.69,   60.37,   59.84,   59.96,   58.60,   59.26,   53.98,   54.43,   54.10,   54.17,   53.42,   53.26,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 11:24:39,  +00:00,       ,             ,             ,   909.6, 30.04,        ,  10.2,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  24.3,  23.6,  -6.5,  45.72,  45.54,     0.00,   60.74,    1.60,  28.85,    0.0,   59.67,   60.37,   59.82,   59.96,   58.60,   59.24,   53.99,   54.43,   54.09,   54.14,   53.42,   53.25,        ,   0,  GPS,   16.7, 113.70, 111.15, 119.900, 127.075,       ,       ,       ,      ,       ,       ,   -6.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
