#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 (3600 GW)", unit_software_part_number="006-B0319-A6", unit_software_version="12.11", system_software_part_number="006-B0764-18", system_id="251525B82", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-03-24, 14:52:54,  +00:00,       ,             ,             ,   219.8, 30.33,        ,  10.0,   0.00,       ,   25.14,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.9,  28.87,  31.93,     2.72,  138.65,   53.39,  11.50,  994.3,  207.95,  223.41,  216.96,  208.86,  218.86,  212.58,  725.22,  695.21,  685.98,  712.97,  717.73,  740.67,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:52:55,  +00:00,       ,             ,             ,   219.8, 30.33,        ,  10.0,   0.00,       ,   15.54,       ,       ,       ,       ,      ,      ,  24.5,  23.8,  -9.9,  28.83,  31.87,     2.67,  138.76,   53.46,  11.53,  993.4,  208.00,  223.46,  216.99,  208.90,  218.87,  212.58,  735.70,  706.86,  698.27,  726.61,  726.36,  755.26,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:52:56,  +00:00,       ,             ,             ,   219.8, 30.33,        ,  10.0,   0.00,       ,    0.18,       ,       ,       ,       ,      ,      ,  24.6,  23.9,  -9.9,  28.79,  31.84,     2.63,  139.26,   53.61,  11.39,  998.6,  208.11,  223.52,  217.10,  209.01,  218.99,  212.70,  768.47,  732.31,  726.97,  763.98,  754.56,  785.53,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:52:57,  +00:00,       ,             ,             ,   218.8, 30.33,        ,  10.0,   0.00,       ,  -13.05,       ,       ,       ,       ,      ,      ,  25.1,  24.6,  -7.9,  28.77,  31.83,     2.58,  139.78,   53.37,  11.47,  976.1,  208.22,  223.61,  217.22,  209.10,  219.11,  212.78,  799.27,  754.58,  751.20,  797.57,  776.35,  813.89,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:52:58,  +00:00,       ,             ,             ,   218.8, 30.33,        ,  10.0,   0.00,       ,   -8.41,       ,       ,       ,       ,      ,      ,  25.7,  25.5,  -5.9,  28.75,  31.82,     2.62,  140.31,   53.07,  11.66,  952.3,  208.33,  223.70,  217.35,  209.21,  219.25,  212.86,  820.92,  771.30,  768.79,  828.06,  795.47,  837.22,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:52:59,  +00:00,       ,             ,             ,   218.8, 30.33,        ,  10.0,   0.00,       ,  -15.21,       ,       ,       ,       ,      ,      ,  26.2,  26.3,  -4.2,  28.74,  31.81,     2.65,  140.86,   52.91,  11.75,  951.6,  208.47,  223.79,  217.47,  209.30,  219.35,  212.94,  840.66,  784.31,  787.84,  846.57,  813.32,  855.73,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:53:00,  +00:00,       ,             ,             ,   217.8, 30.33,        ,  10.0,   0.00,       ,  -24.89,       ,       ,       ,       ,      ,      ,  26.6,  26.9,  -2.7,  28.74,  31.82,     2.68,  141.35,   52.85,  11.73,  952.9,  208.59,  223.89,  217.61,  209.42,  219.50,  213.05,  858.68,  800.83,  804.49,  871.36,  827.99,  875.71,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:53:01,  +00:00,       ,             ,             ,   217.8, 30.33,        ,  10.0,   0.00,       ,  -19.53,       ,       ,       ,       ,      ,      ,  26.8,  27.3,  -1.4,  28.74,  31.83,     2.68,  141.79,   52.78,  11.80,  948.8,  208.71,  223.99,  217.74,  209.49,  219.62,  213.15,  876.27,  814.20,  817.19,  886.21,  840.43,  892.74,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:53:02,  +00:00,       ,             ,             ,   217.8, 30.33,        ,  10.0,   0.00,       ,  -13.87,       ,       ,       ,       ,      ,      ,  27.1,  27.7,  -0.2,  28.75,  31.83,     2.66,  142.13,   52.82,  11.79,  955.8,  208.82,  224.09,  217.91,  209.58,  219.76,  213.21,  892.86,  827.38,  827.55,  889.34,  850.78,  907.32,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-03-24, 14:53:03,  +00:00,       ,             ,             ,   218.8, 30.33,        ,  10.0,   0.00,       ,    8.98,       ,       ,       ,       ,      ,      ,  27.2,  28.0,   0.8,  28.75,  31.83,     2.69,  142.40,   52.78,  11.83,  952.5,  208.92,  224.19,  218.04,  209.64,  219.89,  213.30,  905.46,  838.22,  838.19,  912.00,  858.70,  919.51,        ,   0,  GPS,  139.4, 113.70, 111.15, 122.700, 119.025,       ,       ,       ,      ,       ,       ,  -10.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
